 not sufficient 	 not enough 
 ever before 	 not usually 
 avoidance of 	 not prevent 
 not exist 	 barely know 
 see him 	 not see 
 of minimum 	 not as 
 not pass 	 failure , 
 not good 	 too much 
 not get 	 there will 
 not merely 	 mere fact 
 loss of 	 not be 
 failure to 	 not sufficient 
 not anymore 	 all off 
 not care 	 nothing that 
 not to 	 of country 
 of not 	 not already 
 naughty 	 not right 
 not considered 	 thinks the 
 not consider 	 think the 
 not considered 	 think the 
 not one 	 n't it 
 not we 	 without a 
 not wait 	 hurry , 
 not pretend 	 but seriously 
 not unlike 	 such as 
 know of 	 not aware 
 not wa- 	 - honestly 
 fast as 	 not long 
 not well 	 very weak 
 not adopt 	 not properly 
 all gone 	 not over 
 run counter 	 not accept 
 runs counter 	 not accept 
 not him 	 idea how 
 beyond that 	 not within 
 's going 	 not gonna 
 's go 	 not gonna 
 'il let 	 not gonna 
 not be 	 not fair 
 not more 	 same as 
 and compatible 	 not conflict 
 not part 	 me out 
 nothing about 	 not care 
 not gonna 	 're just 
 a failure 	 not good 
 could n't 	 not practicable 
 not least 	 , though 
 right down 	 not far 
 not wish 	 gonna know 
 avoid a 	 not a 
 acceptable by 	 not eligible 
 not say 	 'il say 
 not saying 	 'il say 
 fall within 	 not under 
 not long 	 and soon 
 not stay 	 remains that 
 not be 	 fails to 
 not such 	 of ne 
 pose a 	 not present 
 not offer 	 provides a 
 not send 	 dispatch a 
 not send 	 dispatched a 
 , effectively 	 not actually 
 avoid any 	 not a 
 know i 	 not , 
 not still 	 again now 
 not set 	 determines the 
 pretty soon 	 not much 
 preserve , 	 not affect 
 of under 	 not met 
 of under 	 not meet 
 , uh 	 not much 
 bit ... 	 not long 
 not so 	 of lower 
 not so 	 of low 
 n't anything 	 not proceed 
 not feature 	 without an 
 only just 	 not come 
 , regrets 	 not available 
 not be 	 be exempted 
 not be 	 be exempt 
 n't mention 	 not into 
 n't do 	 not possible 
 not matter 	 relatively little 
 not conducive 	 contrary in 
 not get 	 do just 
 agree . 	 not subscribe 
 more a 	 not particularly 
 not very 	 little " 
 not ... 	 back . 
 not still 	 , alternatively 
 not find 	 must we 
 n't it 	 not have 
 not see 	 get it 
 not clear 	 elaborate on 
 not long 	 it some 
 determines the 	 not set 
 not strictly 	 least have 
 yes 	 not to 
 of just 	 not only 
 not be 	 loss of 
 not well 	 finger on 
 not subject 	 not without 
 not solve 	 work around 
 not need 	 therefore not 
 not have 	 n't you 
 not address 	 set aside 
 not a 	 avoid a 
 not a 	 no. 1 
 not bring 	 would not 
 difference to 	 not continue 
 mean , 	 not yet 
 not readily 	 , impossible 
 not avoid 	 inevitable . 
 not let 	 not likely 
 not remember 	 think about 
 not remember 	 thinking about 
 not remember 	 thought about 
 not practical 	 only able 
 not much 	 little - 
 -lrb- no. 	 not on 
 dismiss the 	 not exclude 
 not true 	 not involve 
 not unduly 	 justifications , 
 not unduly 	 justification , 
 not an 	 avoid any 
 and soon 	 not long 
 not get 	 not let 
 quick to 	 not delay 
 lad , 	 not still 
 not do 	 have never 
 not practical 	 n't able 
 's a 	 not much 
 ' own 	 not themselves 
 not unless 	 ... except 
 less you 	 not as 
 it certainly 	 not fail 
 not let 	 left to 
 not let 	 leave to 
 not an 	 nothin ' 
 not . 	 empty . 
 not any 	 less a 
 not bring 	 will neither 
 not exclude 	 to exempt 
 not fail 	 naturally , 
 not . 	 escape . 
 last to 	 not really 
 not go 	 will keep 
 at odds 	 not wish 
 cards 	 not long 
 not up 	 not reached 
 not up 	 not reach 
 not mention 	 lose sight 
 measure will 	 not function 
 without the 	 not in 
 not always 	 have often 
 , necessarily 	 not if 
 immaterial 	 not much 
 not such 	 have insufficient 
 , forget 	 not mention 
 not very 	 low but 
 practice . 	 not . 
 fact only 	 not until 
 shortage problem 	 not sufficiently 
 not then 	 this than 
 not once 	 never lonely 
 not a 	 either be 
 not here 	 right there 
 not feel 	 unaware of 
 not hold 	 leave behind 
 's ok 	 not gonna 
 died . 	 not . 
 dying . 	 not . 
 die . 	 not . 
 one can 	 not impossible 
 not stop 	 shut off 
 dear , 	 not - 
 one only 	 not require 
 one only 	 not required 
 not lie 	 not any 
 not her 	 n't real 
 not in 	 without the 
 not find 	 do no 
 not found 	 does no 
 not found 	 do no 
 not actually 	 nothing about 
 not long 	 , short 
 me nothin' 	 not suck 
 last name 	 not hold 
 not certain 	 seriously doubt 
 preventing a 	 not preclude 
 prevent a 	 not preclude 
 , short 	 not long 
 not enough 	 the shortfall 
 never for 	 not once 
 not exclude 	 prevent the 
 not conclude 	 wrapped up 
 not conclude 	 wrap up 
 only able 	 not practical 
 and foremost 	 not everything 
 not far 	 very closely 
 do anything 	 not come 
 exempt , 	 not present 
 not dispute 	 concurrence with 
 not represent 	 are neither 
 not represent 	 is neither 
 not represent 	 be neither 
 not represent 	 was neither 
 not much 	 too little 
 not long 	 soon anyway 
 n't help 	 not here 
 not limit 	 narrow down 
 not limited 	 narrow down 
 not likely 	 not let 
 not adequately 	 shortage problem 
 probably not 	 not think 
 not many 	 not such 
 not eligible 	 must not 
 must we 	 not find 
 not much 	 n't hurt 
 not view 	 not of 
 do just 	 not get 
 not . 	 objective . 
 's more 	 not on 
 can understand 	 not sure 
 not promote 	 nothing to 
 not part 	 you out 
 not till 	 you wait 
 can not 	 not provide 
 not . 	 force . 
 scary , 	 not trust 
 not any 	 nothing will 
 not available 	 version , 
 not enter 	 will not 
 right there 	 not here 
 not merely 	 just an 
 far from 	 not that 
 not feasible 	 not favour 
 not long 	 fast as 
 not officially 	 the formal 
 not able 	 you today 
 not uncommon 	 often an 
 place only 	 not until 
 not take 	 lose any 
 not agree 	 was unacceptable 
 not agree 	 be unacceptable 
 not doubt 	 course be 
 not correctly 	 a badly 
 not a 	 avoid any 
 punishment , 	 not much 
 not fully 	 partly , 
 not very 	 be hard 
 not readily 	 not long 
 not sure 	 can understand 
 not keep 	 to refrain 
 not contribute 	 n't nothing 
 not stop 	 to go 
 'd know 	 not to 
 not good 	 of pain 
 not long 	 not readily 
 not likely 	 simply not 
 not that 	 you ca 
 of non- 	 not otherwise 
 not dirt 	 always naughty 
 resentment among 	 not very 
 relatively little 	 not long 
 asia -lrb- 	 not something 
 could they 	 not feasible 
 finger on 	 not well 
 not the 	 not concern 
 not 	 the less 
 not set 	 which specifies 
 an unknown 	 not really 
 not available 	 flaw in 
 it certainly 	 not least 
 not wait 	 expects a 
 not fair 	 too bad 
 n't help 	 not constitute 
 very poorly 	 not long 
 not widely 	 but few 
 fine 	 not possible 
 not happen 	 the contrary 
 not possible 	 i will 
 not very 	 it difficult 
 not present 	 not likely 
 of atypical 	 not an 
 not 	 i 'il 
 not perhaps 	 maybe that 
 not there 	 without an 
 not permit 	 prevent the 
 not permitted 	 prevent the 
 not permit 	 preventing the 
 not permit 	 prevented the 
 avert the 	 not attempt 
 it yet 	 not more 
 not exist 	 not part 
 not reached 	 not up 
 not reach 	 not up 
 not long 	 come on 
 not actually 	 nothing , 
 not until 	 soon as 
 be unlikely 	 not be 
 is unlikely 	 not be 
 not me 	 of six 
 not remain 	 be either 
 not adopt 	 not possible 
 13.6 	 not only 
 nothing to 	 not encourage 
 not want 	 do without 
 not far 	 right down 
 not mention 	 i forget 
 moot 	 not appropriate 
 , africa 	 not of 
 effort . 	 not . 
 not lack 	 enough ... 
 fail to 	 not leave 
 not as 	 less you 
 not remove 	 gonna get 
 not too 	 while , 
 not about 	 not willing 
 not long 	 anytime soon 
 pointless , 	 not help 
 not long 	 relatively little 
 of poor 	 not well 
 not impossible 	 you could 
 not make 	 bad for 
 pose a 	 not entail 
 not willing 	 not about 
 far outweigh 	 not nearly 
 not actually 	 in effect 
 not exclude 	 to stop 
 not anticipate 	 provide , 
 shall establish 	 not again 
 not so 	 far less 
 evil 	 not fair 
 not like 	 different -lrb- 
 not lead 	 will get 
 not infrequently 	 always here 
 not properly 	 - wrong 
 n't he 	 not have 
 come forward 	 not suggest 
 not comply 	 for violating 
 a minimum 	 not quite 
 not actually 	 indeed of 
 of pain 	 not good 
 not talk 	 so kind 
 not possible 	 n't do 
 not easy 	 the hard 
 knowledge of 	 not know 
 not strictly 	 in fewer 
 's good 	 not clear 
 not eligible 	 's entitlement 
 not ? 	 line . 
 not an 	 the wrong 
 opt out 	 not allow 
 not doubt 	 surely a 
 one else 	 not any 
 too bad 	 not fair 
 not the 	 not entail 
 not agree 	 distance myself 
 unlikely 	 not safe 
 provides a 	 not provide 
 not list 	 / specify 
 not provide 	 can no 
 necessarily mean 	 not fail 
 not fail 	 even be 
 one single 	 not matter 
 not anticipate 	 laws provide 
 not continue 	 difference to 
 not gonna 	 shut down 
 's entitlement 	 not eligible 
 n't able 	 not practical 
 not worth 	 an unnecessary 
 not far 	 close by 
 rush , 	 not wait 
 not into 	 nothing , 
 not have 	 you ca 
 from outside 	 not of 
 not there 	 fuck up 
 little , 	 not quite 
 not relevant 	 that appropriate 
 not eligible 	 acceptable by 
 not meet 	 to fulfil 
 just hard 	 not practical 
 not less 	 as much 
 not ever 	 n't i 
 fewer than 	 not meet 
 fewer than 	 not met 
 not practical 	 n't happen 
 arrest of 	 not gonna 
 far less 	 not very 
 safe . 	 not . 
 as easy 	 not hard 
 near future 	 not very 
 fruitless 	 not appropriate 
 not exist 	 out for 
 always naughty 	 not dirt 
 shall reach 	 not again 
 again now 	 not still 
 not able 	 of you 
 n't easy 	 not practical 
 not an 	 nevis , 
 not that 	 , nor 
 not hold 	 's behalf 
 bit of 	 not too 
 not well 	 nothing much 
 not strictly 	 of fewer 
 low but 	 not widely 
 little " 	 not widely 
 not care 	 make no 
 but no 	 not possible 
 not strictly 	 least - 
 not eligible 	 suitability , 
 it impossible 	 not simply 
 not implement 	 apply it 
 ... not 	 not very 
 not very 	 a generally 
 not possible 	 not adopt 
 not more 	 it yet 
 not for 	 you ca 
 not show 	 to indicate 
 bad thing 	 not right 
 often an 	 not uncommon 
 , belongs 	 not fall 
 not gonna 	 'm good 
 relates not 	 not for 
 really nothing 	 not proceed 
 not less 	 bit as 
 not possible 	 but no 
 not it 	 actually incorrect 
 out there 	 not subject 
 not an 	 nothing , 
 not correct 	 way whatsoever 
 not again 	 still there 
 discontent among 	 not very 
 not out 	 n't anything 
 not aware 	 well-known fact 
 not concern 	 belong to 
 not on 	 's more 
 able to 	 not permit 
 not start 	 begun the 
 avoid any 	 not an 
 not the 	 both the 
 not out 	 n't help 
 bringing forward 	 not suggest 
 bring forward 	 not suggest 
 not lack 	 been adequately 
 not lack 	 be adequately 
 not lack 	 is adequately 
 slightly 	 not much 
 not easily 	 little to 
 not adequately 	 with poor 
 not conform 	 which violate 
 not practical 	 just hard 
 pointless , 	 not worth 
 1984 . 	 not ! 
 " bad 	 not good 
 not send 	 hand out 
 not send 	 handing out 
 , great 	 not difficult 
 not nearly 	 far ... 
 not much 	 some extra 
 not bother 	 moment ago 
 just under 	 not really 
 different , 	 not true 
 not likely 	 not present 
 little - 	 not much 
 not very 	 but few 
 not then 	 whether it 
 not true 	 different , 
 n't i 	 not ever 
 not any 	 it never 
 of below 	 not suffice 
 by either 	 not even 
 occur to 	 not remember 
 occurred to 	 not remember 
 not actually 	 really mean 
 name again 	 not hold 
 not delay 	 act quickly 
 not normally 	 generally have 
 not again 	 shall reach 
 not seem 	 sound like 
 nothing much 	 not well 
 not bad 	 hat off 
 n't like 	 not well 
 many . 	 not . 
 be hard 	 not very 
 not simply 	 ... do 
 , contrary 	 not conform 
 really as 	 not hard 
 durban review 	 not itself 
 not widely 	 or so 
 not provide 	 provide assistance 
 not that 	 they ca 
 not too 	 bit of 
 not sufficiently 	 shortage problem 
 aim of 	 not seek 
 , though 	 not least 
 not usually 	 , ever 
 not lack 	 " sufficiently 
 not exceeding 	 smaller than 
 not exceed 	 smaller than 
 not stand 	 n't nothing 
 not but 	 solely in 
 happy 	 not right 
 not suffice 	 of below 
 any less 	 not such 
 less than 	 not eligible 
 not impede 	 obstacle to 
 not good 	 sick in 
 not there 	 big deal 
 no. 1 	 not in 
 not still 	 always just 
 not less 	 to equal 
 alone 	 not simply 
 not likely 	 not favour 
 not succeed 	 of failure 
 not appreciate 	 , poorly 
 not good 	 " bad 
 ... except 	 not unless 
 n't care 	 not cover 
 nor be 	 not let 
 not apply 	 not the 
 not allow 	 opt out 
 not nearly 	 detail below 
 nothing about 	 not actually 
 shall provide 	 not anticipate 
 not once 	 never really 
 not adequately 	 of below 
 any people 	 not one 
 not entail 	 not the 
 n't nothing 	 not contribute 
 n't real 	 not her 
 not be 	 deal with 
 not favour 	 not likely 
 , outside 	 not belong 
 together 	 not all 
 not widely 	 low but 
 not possibly 	 n't expect 
 not come 	 putting an 
 not come 	 put an 
 not remember 	 occur to 
 not remember 	 occurred to 
 not have 	 by avoiding 
 not much 	 i mean 
 not readily 	 inadequate to 
 mistaken , 	 not right 
 not proceed 	 really nothing 
 not clear 	 difficult because 
 otherwise have 	 not readily 
 n't so 	 not her 
 not related 	 not of 
 not relate 	 not of 
 - wrong 	 not properly 
 do without 	 not any 
 not impossible 	 only be 
 , instead 	 not one 
 all of 	 not ever 
 precisely in 	 not least 
 not . 	 opinion . 
 al , 	 not , 
 be hard 	 not really 
 , impossible 	 not readily 
 not lose 	 keep to 
 not . 	 many . 
 not responsible 	 liability in 
 n't do 	 not have 
 not responsible 	 liability -rrb- 
 not concern 	 fall within 
 not easy 	 tough for 
 both the 	 not the 
 , frequently 	 not uncommon 
 mistakenly 	 not adequately 
 still 	 not only 
 not mention 	 shall indicate 
 not even 	 by either 
 not possible 	 possibility of 
 not attend 	 absence of 
 not enough 	 able to 
 not hold 	 name , 
 not for 	 relates not 
 - nothing 	 not proceed 
 not well 	 hardly be 
 , kind 	 not many 
 not least 	 predominantly in 
 not proceed 	 're welcome 
 not make 	 help prevent 
 n't hurt 	 not much 
 not some 	 a non 
 narrow down 	 not limit 
 narrow down 	 not limited 
 receive no 	 not up 
 received no 	 not up 
 as too 	 not enough 
 not in 	 away for 
 not remember 	 from different 
 not clear 	 difficult that 
 not here 	 elsewhere , 
 not simply 	 impossible , 
 not permit 	 to ban 
 not permitted 	 to ban 
 least have 	 not strictly 
 not likely 	 probable , 
 not remain 	 would no 
 not an 	 belong to 
 not possible 	 only be 
 not dispute 	 agreement that 
 not many 	 for low 
 cold 	 not good 
 shall include 	 not deduct 
 not necessary 	 one only 
 not the 	 i wo 
 not long 	 not adequately 
 not something 	 they either 
 shitty 	 not easy 
 oh no 	 not elsewhere 
 not open 	 , outside 
 particular have 	 not least 
 not there 	 , insufficient 
 not approve 	 you refuse 
 require an 	 not imply 
 not know 	 both know 
 not known 	 both know 
 elaborate on 	 not clear 
 just not 	 not believe 
 not sure 	 ask him 
 not just 	 restrict ourselves 
 not that 	 conclude , 
 are without 	 not we 
 be without 	 not we 
 not met 	 yet to 
 not meet 	 yet to 
 not grant 	 bar to 
 known to 	 not available 
 shortfall in 	 not adequate 
 seems to 	 not set 
 but few 	 not widely 
 not once 	 never for 
 not necessarily 	 as many 
 not only 	 it both 
 not keep 	 help but 
 little to 	 not easily 
 a bit 	 not the 
 not aware 	 awareness among 
 not long 	 touch of 
 as much 	 not less 
 not do 	 , ca 
 press release 	 not communicate 
 not again 	 oh no 
 sentence , 	 not much 
 quietly 	 not adequately 
 not before 	 only very 
 not clear 	 evil . 
 not least 	 , e.g. 
 it not 	 not necessarily 
 not exceed 	 transcends the 
 only be 	 not impossible 
 except the 	 not just 
 not solely 	 of simply 
 shortages , 	 not lack 
 shortage , 	 not lack 
 not appreciate 	 a poorly 
 not allow 	 give any 
 not impose 	 set a 
 not solve 	 to troubleshoot 
 n't it 	 not see 
 not met 	 of under 
 not meet 	 of under 
 cheesy 	 not good 
 not gonna 	 arrest of 
 - lack 	 not to 
 not willing 	 inclination to 
 never been 	 not given 
 never be 	 not give 
 not available 	 version of 
 not him 	 great idea 
 not list 	 please elaborate 
 not wish 	 can think 
 justifications , 	 not unduly 
 justification , 	 not unduly 
 not it 	 's lack 
 's ability 	 not capable 
 laws provide 	 not anticipate 
 not 	 's right 
 n't anything 	 not out 
 not many 	 , kind 
 ... another 	 not again 
 otherwise than 	 not some 
 begun the 	 not start 
 not responsible 	 or liability 
 not list 	 specify how 
 make no 	 not care 
 rather , 	 not like 
 not stand 	 n't anything 
 not uncommon 	 -rrb- often 
 it either 	 not a 
 partly , 	 not fully 
 not elsewhere 	 oh no 
 nothing that 	 not care 
 except that 	 not unless 
 could not 	 not meet 
 could not 	 not met 
 can think 	 not wish 
 not even 	 but rather 
 line . 	 not ... 
 not till 	 but wait 
 not hold 	 name again 
 not really 	 true , 
 nothing , 	 not care 
 , quickly 	 not delay 
 not gonna 	 'il let 
 just here 	 not here 
 find him 	 not find 
 not good 	 time it 
 far away 	 not such 
 not lose 	 continuing to 
 not lose 	 continue to 
 familiarity with 	 not aware 
 just not 	 not doubt 
 not strictly 	 less as 
 not proceed 	 n't mention 
 not guilty 	 blame , 
 remark , 	 not notice 
 not even 	 not reach 
 not even 	 section of 
 prejudicial 	 not safe 
 not dispute 	 agreed that 
 not dispute 	 agree that 
 not feasible 	 could they 
 not least 	 -lrb- e.g. 
 by avoiding 	 not have 
 " stay 	 not remain 
 - everything 	 not rest 
 not punish 	 forgive me 
 not well 	 only slightly 
 not do 	 fewer than 
 discontinuation of 	 not continue 
 soft 	 not sure 
 failure in 	 not succeed 
 blame , 	 not guilty 
 not fully 	 , insufficient 
 set a 	 not impose 
 record your 	 not enter 
 not fail 	 necessarily mean 
 not made 	 without a 
 not make 	 without a 
 not 	 never before 
 not spend 	 will use 
 less 	 not yet 
 not able 	 make no 
 not able 	 made no 
 mean the 	 not entail 
 not readily 	 could not 
 not show 	 , indicate 
 not easy 	 a poor 
 line with 	 not only 
 section of 	 not even 
 sorry 	 not true 
 be either 	 not remain 
 not a 	 of each 
 not yet 	 than the 
 not least 	 probably more 
 not right 	 's wrong 
 not keep 	 us not 
 not work 	 not do 
 not work 	 not doing 
 not working 	 not doing 
 not say 	 tell them 
 not officially 	 on record 
 not clear 	 never easy 
 not it 	 n't so 
 not do 	 route to 
 not doing 	 route to 
 not fewer 	 senior secondary 
 too little 	 not much 
 not gonna 	 's ok 
 line . 	 not ? 
 order not 	 not talk 
 not one 	 different kind 
 be unacceptable 	 not agree 
 not pay 	 point in 
 you too 	 not you 
 not clearly 	 vague , 
 not they 	 's lack 
 not ... 	 him . 
 always just 	 not still 
 not willing 	 nor should 
 be little 	 not such 
 mere fact 	 not merely 
 not hard 	 really as 
 not come 	 i realise 
 not like 	 , nothing 
 same as 	 not more 
 not 	 , even 
 not change 	 to transform 
 not any 	 " none 
 not gonna 	 's going 
 not gonna 	 's go 
 not particularly 	 small a 
 scarce 	 not well 
 's fine 	 not gonna 
 not doubt 	 just not 
 really appreciate 	 not talk 
 not with 	 , nor 
 can no 	 not provide 
 but wait 	 not till 
 barely 	 not on 
 it continue 	 not stop 
 not follow 	 to apply 
 not suck 	 me nothin' 
 worse 	 not adequately 
 not succeed 	 failure in 
 not much 	 penalty of 
 not quite 	 different view 
 not otherwise 	 the non- 
 not quite 	 do nothing 
 not very 	 , minimal 
 not apply 	 relevant to 
 not tell 	 you hide 
 not talk 	 really appreciate 
 deal with 	 not be 
 awareness among 	 not aware 
 not act 	 absolutely nothing 
 not any 	 not lie 
 not again 	 ... another 
 not unreasonable 	 logic in 
 certainly 	 not even 
 not just 	 over and 
 not that 	 never mind 
 not compromise 	 to undermine 
 and nobody 	 not a 
 not but 	 be quite 
 n't anything 	 not stand 
 not to 	 'd know 
 not to 	 too much 
 not compromise 	 weaken , 
 not . 	 gate . 
 a badly 	 not correctly 
 route to 	 not do 
 route to 	 not doing 
 empty . 	 not . 
 place in 	 not feature 
 order not 	 not doing 
 order not 	 not do 
 not reach 	 sustain the 
 nothin ' 	 not him 
 not act 	 us not 
 not replace 	 up for 
 of fewer 	 not strictly 
 preserved , 	 not lose 
 preserve , 	 not lose 
 not doubt 	 strongly believe 
 not right 	 wrong . 
 bad in 	 not adequately 
 not bother 	 you fall 
 not hold 	 for christ 
 not widely 	 , minimal 
 not aware 	 familiarity with 
 unfortunate 	 not good 
 now see 	 not appear 
 none 	 not of 
 n't expect 	 not possibly 
 otherwise by 	 not conducive 
 keep to 	 not lose 
 difficult , 	 not very 
 really nothing 	 not stand 
 not wish 	 desire for 
 provide assistance 	 not provide 
 not to 	 - yes 
 not , 	 al , 
 's it 	 not that 
 not least 	 that much 
 not go 	 could it 
 not a 	 which none 
 certainly the 	 not least 
 not good 	 point -lrb- 
 not see 	 n't it 
 not dispute 	 consent to 
 not dispute 	 consents to 
 not dispute 	 consented to 
 's behalf 	 not hold 
 not doing 	 order not 
 not do 	 order not 
 not again 	 " still 
 not otherwise 	 yet , 
 different view 	 not quite 
 not say 	 're telling 
 not safe 	 hazardous and 
 not . 	 master . 
 - nothing 	 not out 
 n't nothing 	 not stand 
 not obtain 	 us not 
 only be 	 not possible 
 's my 	 not be 
 never really 	 not once 
 not here 	 just here 
 escape . 	 not . 
 not mention 	 specified the 
 not mention 	 specifying the 
 not mention 	 specify the 
 not so 	 to fewer 
 " still 	 not again 
 not entail 	 mean the 
 of below 	 not enough 
 not quite 	 of just 
 not need 	 enough , 
 not the 	 a bit 
 fewer than 	 not do 
 not till 	 - wait 
 new emerging 	 not new 
 not work 	 impossibility of 
 not think 	 the opinion 
 not practical 	 difficult ; 
 agreement of 	 not dispute 
 not . 	 bitch . 
 not capable 	 inadequate to 
 a poor 	 not easy 
 oh no 	 not again 
 not talk 	 careful not 
 , dear 	 not do 
 not true 	 lie , 
 but rather 	 not even 
 not some 	 neither a 
 a similar 	 not less 
 or liability 	 not responsible 
 very closely 	 not far 
 not well 	 relatively little 
 relates not 	 not with 
 , minimal 	 not very 
 not least 	 it certainly 
 not subject 	 , without 
 not a 	 i 'il 
 not one 	 any people 
 not part 	 absent , 
 not up 	 receive no 
 not up 	 received no 
 not really 	 last to 
 not . 	 reality . 
 not readily 	 still unable 
 left to 	 not let 
 leave to 	 not let 
 not leave 	 to discontinue 
 not very 	 too much 
 not . 	 mine . 
 / specify 	 not list 
 not already 	 yet a 
 unfairly 	 not adequately 
 yes 	 not yet 
 not of 	 we absolutely 
 both know 	 not known 
 both know 	 not know 
 not remain 	 " stay 
 measure to 	 not function 
 not obtain 	 will acquire 
 penalty of 	 not much 
 short period 	 not significantly 
 of simply 	 not solely 
 not like 	 , rather 
 n't trust 	 not competent 
 not gonna 	 's fine 
 not properly 	 would know 
 not wish 	 would know 
 not such 	 be inadequate 
 not have 	 n't do 
 either not 	 not capable 
 's just 	 not have 
 not adequate 	 misuse , 
 do not 	 not again 
 also come 	 not lose 
 not mention 	 we forget 
 obstacle to 	 not impede 
 not right 	 not easy 
 're welcome 	 not contribute 
 not you 	 really sorry 
 not entirely 	 a rather 
 but many 	 not less 
 smaller 	 not much 
 not suggest 	 come up 
 it difficult 	 not very 
 not take 	 will never 
 not find 	 get us 
 do nothing 	 not quite 
 'il say 	 not saying 
 'il say 	 not say 
 not accept 	 will reject 
 not conclude 	 wound up 
 not into 	 nothing ' 
 remains that 	 not stay 
 or so 	 not widely 
 shall indicate 	 not mention 
 not usually 	 n't never 
 not practical 	 difficult that 
 liability in 	 not responsible 
 absolutely nothing 	 not act 
 shh . 	 not ? 
 not taken 	 picked up 
 not take 	 pick up 
 shall identify 	 not mention 
 point to 	 not forget 
 not like 	 the different 
 hopeless 	 not appropriate 
 not lack 	 that enough 
 not there 	 inadequate , 
 hurt 	 not fair 
 hurting 	 not fair 
 not there 	 never to 
 not worth 	 point in 
 not easy 	 complex issue 
 not adequately 	 not long 
 not a 	 and nobody 
 not with 	 not relate 
 not least 	 will include 
 not at 	 less so 
 not seem 	 influence the 
 not practical 	 difficult " 
 not least 	 principally the 
 not stop 	 it continue 
 of just 	 not quite 
 not come 	 could not 
 not mentioned 	 keep quiet 
 not mention 	 keep quiet 
 of you 	 not able 
 few in 	 not readily 
 not . 	 date . 
 less as 	 not strictly 
 not readily 	 otherwise have 
 part in 	 not belong 
 an unnecessary 	 not worth 
 not likely 	 would know 
 not simply 	 it impossible 
 not even 	 find no 
 not fail 	 may or 
 not less 	 but many 
 not well 	 then it 
 not stay 	 remains . 
 not well 	 good in 
 not imply 	 require an 
 not lose 	 also come 
 not get 	 not allow 
 not getting 	 not allowed 
 not get 	 not allowed 
 not it 	 please do 
 difficult that 	 not practical 
 not grant 	 , refusing 
 not granted 	 , refused 
 not grant 	 , refuse 
 application 	 not request 
 not . 	 ahead . 
 not something 	 either be 
 , avoid 	 not make 
 relevant to 	 not apply 
 not do 	 go for 
 not doing 	 go for 
 not sure 	 to understand 
 not change 	 not likely 
 not survive 	 's survival 
 not have 	 n't it 
 not agree 	 in compliance 
 not lose 	 shall retain 
 no to 	 not get 
 really mean 	 not actually 
 not relevant 	 appropriate " 
 not able 	 not adopt 
 mistake . 	 not . 
 detail below 	 not nearly 
 error , 	 not true 
 not bother 	 up your 
 not include 	 set aside 
 not fail 	 're never 
 not hold 	 should leave 
 brief one 	 not long 
 not significantly 	 relatively little 
 actually put 	 not compromise 
 not mention 	 shall identify 
 , rarely 	 not much 
 not easy 	 not right 
 not stand 	 n't mind 
 not maintain 	 with neither 
 n't matter 	 not out 
 not really 	 just under 
 not currently 	 yet become 
 hard 	 not adequately 
 not lack 	 really miss 
 not at 	 way , 
 not make 	 prevent a 
 even impossible 	 not happen 
 only slightly 	 not well 
 never to 	 not meant 
 never to 	 not mean 
 seems to 	 not look 
 not more 	 somewhat more 
 're never 	 not fail 
 not eligible 	 not afford 
 not right 	 time around 
 not sufficiently 	 simply too 
 not then 	 see whether 
 not there 	 without , 
 not enough 	 lack thereof 
 ask him 	 not sure 
 not suggest 	 should offer 
 , ever 	 not usually 
 not relate 	 which belongs 
 bar to 	 not grant 
 not set 	 shall identify 
 and unnecessary 	 not require 
 and unnecessary 	 not required 
 not again 	 would still 
 - nothing 	 not stand 
 only very 	 not before 
 of failure 	 not succeed 
 not easily 	 hardly a 
 ole 	 not yet 
 not remain 	 stay a 
 not lack 	 enough with 
 lose sight 	 not mention 
 not become 	 than of 
 not well 	 once , 
 apply it 	 not implement 
 not lack 	 that sufficient 
 not feasible 	 we not 
 not regard 	 opinion that 
 n't worth 	 not lose 
 consider to 	 not regard 
 different kind 	 not one 
 as mere 	 not merely 
 not of 	 non- governmental 
 dispatched a 	 not send 
 dispatch a 	 not send 
 lie , 	 not true 
 provides a 	 not offer 
 closure of 	 not conclude 
 not or 	 will neither 
 should not 	 not feasible 
 not continue 	 discontinuation of 
 not out 	 nothing , 
 not able 	 it be 
 look forward 	 not expect 
 evil . 	 not clear 
 not doubt 	 also certain 
 difficulty for 	 not easily 
 difficulties for 	 not easily 
 not help 	 an unnecessary 
 not significantly 	 little in 
 also certain 	 not doubt 
 not anticipate 	 do provide 
 not until 	 with just 
 find no 	 not up 
 not everything 	 this whole 
 not send 	 give out 
 please explain 	 not list 
 not allow 	 unacceptable , 
 not widely 	 small a 
 not less 	 likewise , 
 agreeing with 	 not dispute 
 agreed with 	 not dispute 
 agree with 	 not dispute 
 not compromise 	 actually put 
 not into 	 nothing about 
 not substantially 	 , minimal 
 probable , 	 not likely 
 not him 	 insight into 
 not him 	 insights into 
 any and 	 not ever 
 not sure 	 fiscal year 
 very soon 	 not yet 
 maybe that 	 not perhaps 
 prevent the 	 not exclude 
 not significantly 	 little while 
 not quite 	 a smaller 
 , ca 	 not do 
 logic in 	 not unreasonable 
 not an 	 less a 
 n't here 	 not exist 
 close by 	 not far 
 not amount 	 imply a 
 not produce 	 have potentially 
 not a 	 not easily 
 not do 	 no. 1 
 n't mention 	 not proceed 
 could it 	 not go 
 's never 	 not do 
