 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 not to invest 	 not investing 
 does not believe [IN,1] [S/PP,2] 	 does not consider [IN,1] [S/PP,2] 
 [WDT,1] lack [NP,2] 	 [WDT,1] do not have [NP,2] 
 not match the 	 not correspond to the 
 not lie to [PRP,1] [.,2] 	 n't lie to [PRP,1] [.,2] 
 can not [VB,1] seen 	 can not [VB,1] regarded 
 is not possible [VP/NP,1] [NP/S,2] 	 is impossible [VP/NP,1] [NP/S,2] 
 was not involved in 	 did not participate in 
 is not just a [JJ,1] 	 is not only a [JJ,1] 
 i [VBP,1] not [JJ,2] . 	 i [VBP,1] n't [JJ,2] . 
 [VP/SBAR,1] that i [VBD,2] not 	 [VP/SBAR,1] that i [VBD,2] n't 
 otherwise , [PRP,1] [MD,2] 	 if not , [PRP,1] [MD,2] 
 i [VBP,1] not say 	 i [VBP,1] not saying 
 are not sufficient to [VP/NP,1] 	 are not enough to [VP/NP,1] 
 ca n't believe [SBAR,1] [.,2] 	 can not believe [SBAR,1] [.,2] 
 [SQ/VP,1] did not 	 [SQ/VP,1] did n't 
 [MD,1] not replace 	 [MD,1] not substitute for 
 [IN,1] indicated otherwise [PP/NN,2] 	 [IN,1] not otherwise stated [PP/NN,2] 
 , [PRP,1] is n't [.,2] 	 , [PRP,1] 's not [.,2] 
 i did n't know [IN,1] 	 i did not know [IN,1] 
 [VBP,1] n't see [NP/NN,2] 	 [VBP,1] not see [NP/NN,2] 
 [NP,1] was not obliged 	 [NP,1] was not required 
 does not [VB,1] here [.,2] 	 do n't [VB,1] here [.,2] 
 if [DT,1] [VBZ,2] impossible 	 if [DT,1] [VBZ,2] not possible 
 do not think [S,1] 	 do not believe that [S,1] 
 do n't [VB,1] how [S/S,2] 	 did not [VB,1] how [S/S,2] 
 not [RB,1] this minute . 	 not [RB,1] now . 
 [NP,1] [MD,2] not claim 	 [NP,1] [MD,2] not request 
 they 're not [VP,1] . 	 they do n't [VP,1] . 
 not result in 	 not lead to 
 not crying 	 n't cry 
 [DT,1] [NN,2] did not exhaust 	 [DT,1] [NN,2] failed to exhaust 
 did not lead to 	 has not led to 
 n't [NP/NP,1] your [NNS,2] 	 not [NP/NP,1] your [NNS,2] 
 which do not [VP/NP,1] this 	 which fail to [VP/NP,1] this 
 [VBP,1] not attend 	 [VBP,1] not go to 
 impossible [VP/NP,1] the [NP\DT,2] 	 not possible [VP/NP,1] the [NP\DT,2] 
 iran [VBZ,1] failed to 	 iran [VBZ,1] not 
 does not need [VP/S,1] 	 does n't have [VP/S,1] 
 [DT,1] [NP\DT,2] does n't move 	 [DT,1] [NP\DT,2] does not move 
 [VBP,1] n't want to [VP/S,2] 	 [VBP,1] not want [VP/S,2] 
 does not [VB,1] the fact 	 does n't [VB,1] the fact 
 not my 	 n't my 
 n't one of 	 not one of 
 such [NNS,1] can not [VP/VP,2] 	 these [NNS,1] can not [VP/VP,2] 
 he 's not your [NN,1] 	 it ai n't your [NN,1] 
 [VBP,1] not like [VP\VB,2] . 	 [VBP,1] n't like [VP\VB,2] . 
 [VBZ,1] not demonstrated that 	 [VBZ,1] not proven that 
 [VBP,1] not [VP,2] . 	 [VBP,1] n't [VP,2] . 
 do n't [VB,1] [PRP$,2] 	 does not [VB,1] [PRP$,2] 
 n't [IN,1] [DT,2] 	 not [IN,1] [DT,2] 
 [VBP,1] n't think [S/SBAR,2] 	 [VBP,1] not believe [S/SBAR,2] 
 does not mean that the 	 is not to say that the 
 [COMMA,1] not [IN,2] all . 	 [COMMA,1] not [IN,2] ail . 
 [DT,1] did not happen 	 [DT,1] has not happened 
 [NP,1] are n't [PP,2] 	 [NP,1] are not [PP,2] 
 [WDT,1] did not appear [IN,2] 	 [WDT,1] were not included [IN,2] 
 n't [VB,1] me [VB,2] 	 not [VB,1] me [VB,2] 
 n't have [NP/PP,1] [PP,2] 	 not have [NP/PP,1] [PP,2] 
 [VBP,1] n't forget [TO,2] 	 [VBP,1] not forget [TO,2] 
 n't in [NP,1] 	 not in [NP,1] 
 [WDT,1] are missing from 	 [WDT,1] do not appear in 
 [:,1] [PRP,2] did n't 	 [:,1] [PRP,2] did not 
 n't [VB,1] to arab [NNS,2] 	 not [VB,1] in the [NNS,2] 
 not even [NN,1] 	 n't even [NN,1] 
 [NNP,1] do n't understand 	 [NNP,1] do not understand 
 'm not [WP,1] 	 am so not [WP,1] 
 [NP,1] has failed [VP/SBAR,2] that 	 [NP,1] has not [VP/SBAR,2] that 
 [VBD,1] not reply [TO,2] 	 [VBD,1] not respond [TO,2] 
 ca n't survive [PP,1] 	 can not survive [PP,1] 
 ai n't [IN,1] [.,2] 	 's not [IN,1] [.,2] 
 is not [SBAR/VBG,1] 	 's not [SBAR/VBG,1] 
 i do not [VB,1] [VP/RB,2] 	 i do n't [VB,1] [VP/RB,2] 
 n't [NP/NN,1] time [S,2] 	 not [NP/NN,1] time [S,2] 
 [S/VP,1] do not think that 	 [S/VP,1] do n't think 
 this [VBZ,1] n't [NP,2] ! 	 this [VBZ,1] not [NP,2] ! 
 not think that [DT,1] [S\DT,2] 	 n't think [DT,1] [S\DT,2] 
 [VBD,1] not submit [NP/VP,2] 	 [VBD,1] not provide [NP/VP,2] 
 n't seen that [PP,1] 	 not seen this [PP,1] 
 not in session 	 not sitting 
 [VBP,1] not known 	 [VBP,1] unknown 
 [NNP,1] [VBZ,2] not yet 	 [NNP,1] [VBZ,2] still not 
 [S/VP,1] do not believe that 	 [S/VP,1] do n't think 
 he [VBD,1] unwilling 	 it [VBD,1] not prepared 
 wo n't happen again 	 will not happen again 
 [SBAR/VP,1] [VBP,2] not pose 	 [SBAR/VP,1] [VBP,2] not represent 
 i 'm not ready yet 	 i 'm just not ready 
 [SBAR/VP,1] did not [VP/PP,2] between 	 [SBAR/VP,1] does not [VP/PP,2] among 
 if we are not [ADJP/VP,1] 	 unless we are [ADJP/VP,1] 
 do not think [SBAR/SBAR,1] 	 do not believe [SBAR/SBAR,1] 
 [MD,1] not be forgotten [SBAR/NP,2] 	 [MD,1] not forget [SBAR/NP,2] 
 [VBN,1] and not [VBN,2] 	 [VBN,1] rather than [VBN,2] 
 [DT,1] [VBZ,2] not a negotiation 	 [DT,1] [VBZ,2] n't a negotiation 
 [CC,1] [PRP,2] 's not 	 [CC,1] [PRP,2] ai n't 
 lack access 	 do not have access 
 but not just 	 but not only 
 [CC,1] [VBZ,2] not available 	 [CC,1] [VBZ,2] unavailable 
 problem can not be resolved 	 problem is not solved 
 [VBP,1] n't like [NP/SBAR,2] 	 [VBP,1] not like [NP/SBAR,2] 
 that [VBZ,1] none [PP,2] . 	 it [VBZ,1] not [PP,2] . 
 [QP,1] [NNS,2] lack 	 [QP,1] [NNS,2] do not have 
 [NP,1] ai n't a [NN,2] 	 [NP,1] 's not a [NN,2] 
 not [SBAR/VP,1] used to be 	 n't [SBAR/VP,1] used to be 
 does not appear if 	 is not displayed if 
 does not mean [SBAR,1] [.,2] 	 does n't mean [SBAR,1] [.,2] 
 not [VBG,1] [PRP$,2] 	 're not [VBG,1] [PRP$,2] 
 [VBD,1] n't [VP/NP,2] his 	 [VBD,1] not [VP/NP,2] its 
 [NNP,1] wo n't [VP/NN,2] 	 [NNP,1] will not [VP/NN,2] 
 not respond to [NP/VP,1] [VP,2] 	 not answer [NP/VP,1] [VP,2] 
 not what [S,1] 	 n't that what [S,1] 
 [VBZ,1] n't the [JJ,2] 	 [VBZ,1] not the [JJ,2] 
 do not believe [IN,1] [S/PP,2] 	 do not think [IN,1] [S/PP,2] 
 was impossible [VP/PP,1] [PP/NNS,2] 	 is not possible [VP/PP,1] [PP/NNS,2] 
 not [VB,1] him [VP,2] 	 n't [VB,1] him [VP,2] 
 are generally not [VBN,1] 	 are not normally [VBN,1] 
 not exactly [JJ,1] 	 n't really [JJ,1] 
 [WDT,1] is not listed 	 [WDT,1] does not appear 
 [VBP,1] not satisfied [PP,2] 	 [VBP,1] not happy [PP,2] 
 [VBD,1] not permitted to 	 [VBD,1] not allowed to 
 - you [VBP,1] not safe 	 you [VBP,1] in danger 
 which do not yet [VB,1] 	 who still do not [VB,1] 
 was not demonstrated 	 was not shown 
 be [VBN,1] rather than 	 be [VBN,1] , not 
 [NNP,1] are not [JJ,2] 	 [NNP,1] 're not [JJ,2] 
 [SBAR/VP,1] do not talk 	 [SBAR/VP,1] does not speak 
 so as not to [VP,1] 	 in order not to [VP,1] 
 not [VB,1] [DT,2] means 	 n't [VB,1] [DT,2] means 
 [PRP,1] [VBZ,2] no use 	 [PRP,1] [VBZ,2] not worth it 
 the eu [MD,1] not [VP/S,2] 	 europe [MD,1] not [VP/S,2] 
 [VBZ,1] not exactly a 	 [VBZ,1] not really a 
 [IN,1] [NP,2] does not allow 	 [IN,1] [NP,2] does not permit 
 n't know [IN,1] you [VP,2] 	 not know [IN,1] you [VP,2] 
 not [VBN,1] under this 	 not [VBN,1] by this 
 does not contain any [NP\DT,1] 	 contains no [NP\DT,1] 
 he ai n't [RB,1] [.,2] 	 he 's not [RB,1] [.,2] 
 how about [NNP,1] [.,2] 	 why not [NNP,1] [.,2] 
 [VBP,1] not meant to 	 [VBP,1] not intended to 
 not to cooperate [IN,1] 	 not cooperating [IN,1] 
 not allow for [NP,1] 	 not permit [NP,1] 
 do not sleep [PP,1] . 	 'm not sleeping [PP,1] . 
 do not [VB,1] [SBAR/IN,2] 	 do n't [VB,1] [SBAR/IN,2] 
 [VBP,1] been unable to [VP/NNS,2] 	 [VBP,1] not been able [VP/NNS,2] 
 [SBAR/VP,1] [VBD,2] not kill 	 [SBAR/VP,1] [VBD,2] n't killed 
 n't [DT,1] perm 	 not [DT,1] perm 
 is not surprising 	 is no wonder 
 as we can not [VP/VP,1] 	 because we can not [VP/VP,1] 
 [VBZ,1] not [VP,2] ? 	 [VBZ,1] n't [VP,2] ? 
 n't [DT,1] race 	 not [DT,1] race 
 do not [VB,1] if [S/PP,2] 	 do n't [VB,1] if [S/PP,2] 
 [DT,1] 's not good . 	 [DT,1] is bad . 
 that we can not continue 	 that we can no longer 
 [SBAR/VP,1] does not believe [SBAR/VP,2] 	 [SBAR/VP,1] did not think [SBAR/VP,2] 
 not prevent [DT,1] [NP\DT,2] 	 not preclude [DT,1] [NP\DT,2] 
 not worthy of 	 unworthy of 
 [PRP,1] do n't know [DT,2] 	 [PRP,1] do not know [DT,2] 
 do n't like [VP,1] . 	 do not like [VP,1] . 
 [WP,1] are unable to [VP/NN,2] 	 [WP,1] can not [VP/NN,2] 
 you [VBP,1] not [VB,2] the 	 you [VBP,1] n't [VB,2] the 
 [VBZ,1] n't [VB,2] . 	 [VBZ,1] not [VB,2] . 
 not that bad 	 n't so bad 
 [VBZ,1] n't [DT,2] problem . 	 [VBZ,1] not [DT,2] problem . 
 [DT,1] is n't [PP,2] 	 [DT,1] is not [PP,2] 
 do not believe [SBAR/NP,1] [NP/NP,2] 	 do not think [SBAR/NP,1] [NP/NP,2] 
 does not want [VP/PP,1] 	 does not wish [VP/PP,1] 
 was not [PP/NN,1] 	 was n't [PP/NN,1] 
 i 'm not [VP/JJ,1] [JJ,2] 	 i only [VP/JJ,1] [JJ,2] 
 considered as not 	 be regarded as not 
 not succeeded in [VP/PP,1] [PP,2] 	 not managed to [VP/PP,1] [PP,2] 
 [PP,1] is invalid . 	 [PP,1] is not valid . 
 i guess not . 	 i suppose not . 
 not [VB,1] us [VP,2] 	 n't [VB,1] us [VP,2] 
 do not know [SBAR/NP,1] [NP,2] 	 do n't know [SBAR/NP,1] [NP,2] 
 is not restricted [PP/VP,1] 	 is not limited [PP/VP,1] 
 [NP,1] does not allow [NP/NP,2] 	 [NP,1] does not permit [NP/NP,2] 
 is unreasonable [VP/VP,1] 	 is not reasonable [VP/VP,1] 
 [S/VP,1] was not [ADJP,2] 	 [S/VP,1] was n't [ADJP,2] 
 not see [JJ,1] [VP,2] 	 not find it [JJ,1] [VP,2] 
 -not 	 - no 
 it 's not [ADJP/PRP,1] [PRP,2] 	 it is n't [ADJP/PRP,1] [PRP,2] 
 [VBZ,1] not normal [.,2] 	 [VBZ,1] n't normal [.,2] 
 [PRP,1] [VBP,2] not see 	 [PRP,1] [VBP,2] n't see 
 'm not [ADJP/PRP,1] 	 ai n't [ADJP/PRP,1] 
 did not submit [NP/VP,1] [VB,2] 	 did not provide [NP/VP,1] [VB,2] 
 appears not [VP/VP,1] 	 does not appear to [VP/VP,1] 
 do not think [SBAR/VP,1] [VP/RB,2] 	 do not believe [SBAR/VP,1] [VP/RB,2] 
 does not [VB,1] [TO,2] 	 do n't [VB,1] [TO,2] 
 do not [VB,1] me [TO,2] 	 do n't [VB,1] me [TO,2] 
 [DT,1] [NP\DT,2] are invalid 	 [DT,1] [NP\DT,2] are not valid 
 's not even [NP,1] [.,2] 	 is n't even [NP,1] [.,2] 
 unlikely 	 not likely 
 [PRP,1] [VBD,2] not sleep 	 [PRP,1] [VBD,2] n't sleep 
 is n't [PRP$,1] [NN,2] . 	 's not [PRP$,1] [NN,2] . 
 does not give rise [TO,1] 	 does not lead [TO,1] 
 [VBP,1] not comply with [NP/NP,2] 	 [VBP,1] not meet [NP/NP,2] 
 is n't the [JJ,1] [NN,2] 	 's not the [JJ,1] [NN,2] 
 [PRP,1] 's not breathin ' 	 [PRP,1] 's not breathing 
 [SBAR,1] and [SBAR/RB,2] n't 	 [SBAR,1] and [SBAR/RB,2] not 
 [PRP,1] do not know [DT,2] 	 [PRP,1] do n't know [DT,2] 
 who [VBP,1] not entitled 	 that [VBP,1] not eligible 
 is not capable [IN,1] 	 is incapable [IN,1] 
 we 're not [VP/SBAR,1] 	 we are not [VP/SBAR,1] 
 do n't listen to [PRP,1] 	 're not listening to [PRP,1] 
 got the wrong [:,1] 	 'm not [:,1] 
 i [VBP,1] not angry 	 i [VBP,1] not mad 
 n't [VBN,1] the [NP\DT,2] 	 not [VBN,1] the [NP\DT,2] 
 can not [VP/SBAR,1] [RB,2] though 	 can not [VP/SBAR,1] [RB,2] if 
 [:,1] not [RB,2] good . 	 [:,1] not [RB,2] well . 
 could only be [VP/S,1] [S/VP,2] 	 could not be [VP/S,1] [S/VP,2] 
 [PRP,1] am not [VP/PP,2] 	 [PRP,1] 'm not [VP/PP,2] 
 it is not sufficient [VP/SBAR,1] 	 it is not enough [VP/SBAR,1] 
 are not enough [TO,1] 	 are not sufficient [TO,1] 
 this report should not 	 such a report should not 
 [VBZ,1] not valid [PP,2] 	 [VBZ,1] invalid [PP,2] 
 do not want [VP/PP,1] 	 do not wish [VP/PP,1] 
 this is dangerous [.,1] 	 it 's not safe [.,1] 
 [S/S,1] [NP,2] have failed 	 [S/S,1] [NP,2] have not 
 [VBZ,1] not result [PP/PP,2] 	 [VBZ,1] not lead [PP/PP,2] 
 [MD,1] not be viewed [PP/VP,2] 	 [MD,1] not be regarded [PP/VP,2] 
 the tribunal [MD,1] only 	 the tribunal [MD,1] not 
 [VBP,1] n't know if [DT,2] 	 [VBP,1] not know whether [DT,2] 
 [NN,1] is not met 	 [NN,1] is not fulfilled 
 now [VBZ,1] not [NP,2] 	 this [VBZ,1] n't really [NP,2] 
 [PRP,1] are not part 	 [PRP,1] do not form part 
 and not simply [VP,1] 	 and not just [VP,1] 
 -not [ADVP,1] [.,2] 	 - not [ADVP,1] [.,2] 
 [WP,1] [VBP,2] not nationals 	 [WP,1] [VBP,2] not citizens 
 , he [VBZ,1] not [.,2] 	 , it [VBZ,1] n't [.,2] 
 fear [IN,1] [NP/NNP,2] 	 'm not afraid [IN,1] [NP/NNP,2] 
 do not fuck [PP,1] [.,2] 	 do n't fuck [PP,1] [.,2] 
 or ... she [VP,1] 	 if not , she [VP,1] 
 [NP,1] does not come on 	 [NP,1] does not go on 
 is not [NP,1] . 	 is n't [NP,1] . 
 [VP/VP,1] could not [VP,2] 	 [VP/VP,1] could n't [VP,2] 
 [DT,1] ai n't [JJ,2] ! 	 [DT,1] 's not [JJ,2] ! 
 or [VBP,1] not [VP,2] 	 or [VBP,1] n't [VP,2] 
 [WP,1] are ineligible 	 [WP,1] are not eligible 
 not always 	 n't always 
 [PRP,1] am not going [VP/PP,2] 	 [PRP,1] 'm not gonna [VP/PP,2] 
 [NNP,1] [VBZ,2] will not 	 [NNP,1] [VBZ,2] wo n't 
 you [VBD,1] not [VP/NNP,2] 	 you [VBD,1] n't [VP/NNP,2] 
 [PRP,1] [VBZ,2] not need 	 [PRP,1] [VBZ,2] n't have 
 [S,1] , [CC,2] not now 	 [S,1] , [CC,2] not anymore 
 i order you not to go 	 i command you 
 is impossible to [VP/VP,1] 	 is not possible to [VP/VP,1] 
 the claimant [VBD,1] not [VP/VP,2] 	 the applicant [VBD,1] not [VP/VP,2] 
 do not like [NP/NN,1] 	 do n't like [NP/NN,1] 
 did not provide [NP/NP,1] [NP/NN,2] 	 did not submit [NP/NP,1] [NP/NN,2] 
 [MD,1] not be ruled out 	 [MD,1] not be excluded 
 but [PRP,1] 'm not [VBG,2] 	 but [PRP,1] ai n't [VBG,2] 
 n't tell me [S,1] 	 not tell me [S,1] 
 please feel free 	 please do not hesitate 
 appellant did not 	 appellant failed to 
 [PRP,1] do not let 	 [PRP,1] do not allow 
 did n't [VB,1] [PP/NNS,2] 	 did not [VB,1] [PP/NNS,2] 
 not [VB,1] a problem 	 n't [VB,1] a problem 
 n't know whether [SBAR\IN,1] 	 not sure if [SBAR\IN,1] 
 although [NP,1] does not [VP/VP,2] 	 while [NP,1] does not [VP/VP,2] 
 [VBZ,1] not you [.,2] 	 [VBZ,1] not yours [.,2] 
 'm not really sure [SBAR/VP,1] 	 do n't really know [SBAR/VP,1] 
 not [VB,1] [TO,2] 	 n't [VB,1] [TO,2] 
 do not [VB,1] this [NN,2] 	 do n't [VB,1] that [NN,2] 
 do n't work [PP,1] 	 do not work [PP,1] 
 - i [VBD,1] not 	 - i [VBD,1] n't 
 is unacceptable [SBAR/PP,1] 	 is not acceptable [SBAR/PP,1] 
 [FRAG/VP,1] will not 	 [FRAG/VP,1] wo n't 
 windows could not 	 windows was unable to 
 [WDT,1] are not parties [PP,2] 	 [WDT,1] are not party [PP,2] 
 not use the 	 n't use the 
 should n't [VB,1] [PP/NN,2] 	 should not [VB,1] [PP/NN,2] 
 n't one [PP/NNS,1] [NNS,2] 	 not one [PP/NNS,1] [NNS,2] 
 [VBP,1] n't move [.,2] 	 [VBP,1] not move [.,2] 
 do we not , [NP,1] 	 do n't you , [NP,1] 
 is not a negotiation . 	 is n't a negotiation . 
 who did not [VB,1] [SBAR/VP,2] 	 who does n't [VB,1] [SBAR/VP,2] 
 [VP/VP,1] can not be [VP/S,2] 	 [VP/VP,1] can only be [VP/S,2] 
 [PRP,1] [VBP,2] n't had 	 [PRP,1] [VBP,2] not had 
 [VBD,1] n't [VB,2] he 	 [VBD,1] not [VB,2] that it 
 that [PRP,1] [VBP,2] n't know 	 that [PRP,1] [VBP,2] not know 
 the commission was unable to 	 the commission could not 
 do n't [VB,1] [NP,2] and 	 do not [VB,1] [NP,2] and 
 do not think [IN,1] [S/JJ,2] 	 do n't think [IN,1] [S/JJ,2] 
 [VB,1] [NP/RB,2] n't 	 [VB,1] [NP/RB,2] not 
 [VBP,1] not persuaded [SBAR/VP,2] 	 [VBP,1] not satisfied [SBAR/VP,2] 
 -not [FRAG\NNP,1] 	 -no [FRAG\NNP,1] 
 [IN,1] [NP,2] and not just 	 [IN,1] [NP,2] and not only 
 do not [VB,1] [NP,2] and 	 do n't [VB,1] [NP,2] and 
 does not [S/NN,1] 	 has failed [S/NN,1] 
 [NN,1] was n't [NP,2] 	 [NN,1] was not [NP,2] 
 did not try to 	 did n't try to 
 it was n't [PRP,1] [.,2] 	 it 's not [PRP,1] [.,2] 
 ai n't [VBG,1] [PP,2] . 	 'm not [VBG,1] [PP,2] . 
 this [VBZ,1] not [NNP,2] . 	 it [VBZ,1] n't [NNP,2] . 
 's not [JJ,1] [:,2] 	 is n't [JJ,1] [:,2] 
 not [VP/NP,1] [DT,2] survey 	 not [VP/NP,1] [DT,2] investigation 
 not [VB,1] [PRP$,2] mother 	 n't [VB,1] [PRP$,2] mom 
 [PRP,1] 're not going anywhere 	 [PRP,1] 's not going anywhere 
 you 're not [VBN,1] 	 you are not [VBN,1] 
 -lrb- left void [-RRB-,1] 	 -lrb- not applicable [-RRB-,1] 
 n't been a [NP\DT,1] 	 not been a [NP\DT,1] 
 not [VB,1] you [SBAR,2] 	 n't [VB,1] you [SBAR,2] 
 [VBZ,1] n't my [NN,2] 	 [VBZ,1] not my [NN,2] 
 it [VBZ,1] not finished [.,2] 	 it [VBZ,1] not over [.,2] 
 [INTJ,1] , not really [.,2] 	 [INTJ,1] , not exactly [.,2] 
 [PRP,1] am not [NP/NNP,2] 	 [PRP,1] 'm not [NP/NNP,2] 
 [-LRB-,1] [JJ,2] or otherwise -rrb- 	 [-LRB-,1] [JJ,2] or not -rrb- 
 [VBP,1] not [VP/SBAR,2] because 	 [VBP,1] not [VP/SBAR,2] as 
 'm not [VBN,1] [PP,2] . 	 have n't [VBN,1] [PP,2] . 
 [VBZ,1] unavailable [PP/NN,2] 	 [VBZ,1] not available [PP/NN,2] 
 if [DT,1] is impossible 	 if [DT,1] is not possible 
 [VBZ,1] not just [NP/NP,2] 	 [VBZ,1] not merely [NP/NP,2] 
 i [VBD,1] not [VP/VP,2] 	 i [VBD,1] n't [VP/VP,2] 
 are [NNS,1] [COMMA,2] not 	 're [NNS,1] [COMMA,2] not 
 not [ADJP/NNP,1] [NNP,2] 	 n't [ADJP/NNP,1] [NNP,2] 
 [VP/VP,1] is not listed [IN,2] 	 [VP/VP,1] does not appear [IN,2] 
 not surprise [PRP,1] 	 n't surprise [PRP,1] 
 is not capable [PP/NP,1] 	 is incapable [PP/NP,1] 
 [IN,1] such [NNS,2] do not 	 [IN,1] these [NNS,2] do not 
 that [NNP,1] did not provide 	 that [NNP,1] has not provided 
 [NP,1] [PP,2] and not 	 [NP,1] [PP,2] rather than 
 [PRP,1] 's not safe [.,2] 	 [PRP,1] 's dangerous [.,2] 
 not [NP/DT,1] [DT,2] 	 n't [NP/DT,1] [DT,2] 
 it is unlikely 	 it is not likely 
 - not [RB,1] good . 	 - not [RB,1] well . 
 not leaving me [PP,1] 	 n't put me [PP,1] 
 [IN,1] he was unaware 	 [IN,1] he did not know 
 [MD,1] not be limited [PP/NN,2] 	 [MD,1] not be confined [PP/NN,2] 
 if [PRP,1] do n't find 	 if [PRP,1] do not find 
 [WP,1] do not live 	 [WP,1] are not living 
 lacks [NP/VP,1] to 	 does not have [NP/VP,1] to 
 [COMMA,1] do not [VB,2] ! 	 [COMMA,1] do n't [VB,2] ! 
 persons who do not 	 people who do not 
 disagrees with 	 does not agree with 
 has not requested [IN,1] 	 did not request [IN,1] 
 is n't [NP/VBP,1] 	 is not [NP/VBP,1] 
 [NP,1] [VBD,2] unclear 	 [NP,1] [VBD,2] not clear 
 [VP/VP,1] [VBZ,2] invalid 	 [VP/VP,1] [VBZ,2] not valid 
 this [VBZ,1] n't a 	 it [VBZ,1] not a 
 not live [IN,1] [PRP,2] 	 n't live [IN,1] [PRP,2] 
 n't expect you 	 not asking you 
 [PRP,1] 'm not [ADJP/VB,2] 	 [PRP,1] am not [ADJP/VB,2] 
 not because [PP\IN,1] 	 n't because [PP\IN,1] 
 [VBP,1] n't [VB,2] a 	 [VBP,1] not [VB,2] a 
 does not have [DT,1] [NN,2] 	 does n't have [DT,1] [NN,2] 
 you ca n't [VP/VP,1] [VP/PP,2] 	 you can not [VP/VP,1] [VP/PP,2] 
 n't [SBAR/NNS,1] [NNS,2] 	 not [SBAR/NNS,1] [NNS,2] 
 but i [VBP,1] not [VP,2] 	 but i [VBP,1] n't [VP,2] 
 do n't kill [PRP,1] [.,2] 	 do not kill [PRP,1] [.,2] 
 does not prevent [NP,1] [PP/NP,2] 	 does not preclude [NP,1] [PP/NP,2] 
 n't cry 	 not crying 
 [WP,1] did not complete 	 [WP,1] have not completed 
 [NP,1] is not displayed [IN,2] 	 [NP,1] does not appear [IN,2] 
 [VBP,1] not required to 	 [VBP,1] not obliged to 
 [NNS,1] lack [NP/VP,2] 	 [NNS,1] do not have [NP/VP,2] 
 [PRP,1] did not kill 	 [PRP,1] did n't kill 
 but [PRP,1] [VBP,2] n't . 	 but [PRP,1] [VBP,2] not . 
 [MD,1] not take part [IN,2] 	 [MD,1] not participate [IN,2] 
 n't really [NP,1] 	 not exactly [NP,1] 
 do not [VB,1] that [S/ADJP,2] 	 do n't [VB,1] that [S/ADJP,2] 
 [DT,1] [VBZ,2] n't all 	 [DT,1] [VBZ,2] not all 
 [DT,1] issue [MD,2] not be 	 [DT,1] problem [MD,2] not be 
 [VP/VP,1] does not [VB,2] 	 [VP/VP,1] do n't [VB,2] 
 [VBP,1] not mad at you 	 [VBP,1] n't blame you 
 [VBZ,1] not just [PP,2] that 	 [VBZ,1] not only [PP,2] that 
 the claimant has failed [VP/S,1] 	 the claimant has not [VP/S,1] 
 [VBP,1] n't say i 	 [VBP,1] not saying i 
 [DT,1] [VBZ,2] not my problem 	 [DT,1] [VBZ,2] n't my problem 
 n't ask you 	 not asking you 
 [SBAR/VP,1] are not sufficient [VP/NP,2] 	 [SBAR/VP,1] are not enough [VP/NP,2] 
 n't have [DT,1] [S\DT,2] 	 not have [DT,1] [S\DT,2] 
 n't [VB,1] him ! 	 not [VB,1] him ! 
 's not [NP,1] [PP/NN,2] 	 is not [NP,1] [PP/NN,2] 
 n't about [NP,1] 	 not for [NP,1] 
 she [VBZ,1] n't [JJ,2] 	 she [VBZ,1] not [JJ,2] 
 not [VB,1] [PP/NN,2] section 	 not [VB,1] [PP/NN,2] matter 
 that the [NP\DT,1] not [VP/PP,2] 	 that the [NP\DT,1] failed [VP/PP,2] 
 [VBP,1] n't seen [NP/NN,2] 	 [VBP,1] not seen [NP/NN,2] 
 are not specifically 	 are not expressly 
 -lrb- vacant [-RRB-,1] 	 -lrb- not allocated [-RRB-,1] 
 author has not exhausted 	 author did not exhaust 
 not [PRP$,1] house 	 n't [PRP$,1] home 
 [PRP,1] 'm not judging you 	 [PRP,1] do n't judge you 
 not over [SBAR/VP,1] [VP,2] 	 n't finished [SBAR/VP,1] [VP,2] 
 condition [VBZ,1] not fulfilled 	 condition [VBZ,1] not met 
 [NP,1] [COMMA,2] not simply 	 [NP,1] [COMMA,2] not merely 
 the claimant [VBD,1] not [VP/PP,2] 	 the applicant [VBD,1] not [VP/PP,2] 
 [VBZ,1] n't good . 	 [VBZ,1] not good . 
 [VBZ,1] not represent [NP/PP,2] 	 [VBZ,1] not constitute [NP/PP,2] 
 do not like [VP,1] 	 do n't like [VP,1] 
 did not [VB,1] the fact 	 does n't [VB,1] the fact 
 do not think that [NP,1] 	 do not believe that [NP,1] 
 [VBP,1] not [VB,2] so . 	 [VBP,1] n't [VB,2] him . 
 not come home [JJ,1] [NN,2] 	 n't come home [JJ,1] [NN,2] 
 it 's not exactly [NP,1] 	 that 's not really [NP,1] 
 not [WP,1] i [VBP,2] 	 n't [WP,1] i [VBP,2] 
 [VBZ,1] n't [VB,2] too 	 [VBZ,1] not [VB,2] too 
 [SBAR/VP,1] is not involved 	 [SBAR/VP,1] does not participate 
 [-LRB-,1] though not [JJ,2] 	 [-LRB-,1] but not [JJ,2] 
 [NP,1] did not know 	 [NP,1] did n't know 
 can hardly hear [PRP,1] [.,2] 	 can not hear [PRP,1] [.,2] 
 not [VBG,1] this out 	 not [VBG,1] here 
 if [PRP,1] 's not [PP/NN,2] 	 if [PRP,1] ai n't [PP/NN,2] 
 not restrict [VP\VB,1] 	 not limit [VP\VB,1] 
 lack of conformity 	 not in conformity 
