  sufficient 	 insufficient 
  far 	 closely 
  even 	 point 
  working 	 off 
  the 	 l 
 delete 	  going 
  long 	 rare 
 particular 	  least 
 even 	  changed 
 invalid 	  valuable 
  again 	 stiii 
  here 	 whoa 
 it right 	  
  supposed 	 shall 
 moments 	  much 
  bad 	 table 
  	 i thought 
  least 	 point 
  	  yet 
  just 	 more 
  for 	 person 
 inadequate 	  enough 
  limited 	 more 
 never 	  ever 
 , issue 	  
  here 	 hunt 
  	 i said 
 first step 	  
  that 	 t 
 impossible 	  sustainable 
  last 	 period 
  least 	 alia 
  longer 	 anymore 
  now 	 longer 
  good 	 smelly 
  that 	 huh 
 kind of 	  
  much 	 second 
 that 's 	  
  well 	 sick 
 -lsb- chuckles 	  
  long 	 time 
 no. 7515 	  
 fall short 	  
  safe 	 alarming 
 no 	  simply 
  all 	 pas 
  too 	 minimally 
  as 	 poorly 
  now 	 eh 
 , god 	  
  even 	 lower 
  good 	 low 
 a passport 	  
  you 	 perhaps 
  yet 	 stay 
  as 	 under 
 low 	  high 
 get out 	  
 phony 	  true 
  selected 	 off 
  fair 	 just 
 unsatisfactory 	  ideal 
  as 	 fewer 
  many 	 poor 
 number of 	  
  good 	 unwell 
  	 do n't 
  limited 	 alia 
  a 	 l 
  good 	 scary 
 no. 6 	  
  meet 	 respect 
 no. 169 	  
  bad 	 too 
 borne in 	  
  very 	 damn 
  exceeding 	 < 
  	  even 
 's none 	  
 reasonnable 	  unreasonable 
  a 	 n 
 know , 	  
 damn it 	  
 the point 	  
  enough 	 gaps 
 unsafe 	  secure 
 adequate 	  enough 
  . 	 nope 
  take 	 t 
 bad 	  good 
  	  just 
 's just 	  
  long 	 somewhat 
  	 's no 
 nice 	  bad 
  many 	 unlikely 
  related 	 alia 
  having 	 delete 
  have 	 l 
  safe 	 bad 
 're only 	  
  safe 	 unclear 
 a pretty 	  
 , boy 	  
  much 	 shit 
 far from 	  
 poorly 	  well 
  only 	 more 
 please do 	  
 place of 	  
  only 	 he 
  lose 	 ter 
 hard 	  easy 
 also 	  least 
 my god 	  
  safe 	 creepy 
 the event 	  
  only 	 what 
  even 	 huh 
  safe 	 unlikely 
  many 	 thin 
  	 be borne 
  simply 	 13.6 
  good 	 eh 
 no 	  just 
  	 wo n't 
  approve 	 against 
  well 	 more 
  even 	 ani 
  as 	 little 
  long 	 few 
  good 	 unclear 
  here 	 aw 
  	 really  
  yet 	 bit 
  yet 	 ole 
  that 	 eh 
  well 	 hard 
 indefensible 	  acceptable 
 no. 973 	  
  going 	 delete 
  	 no such 
  good 	 sick 
 n . 	  
  	 certainly  
  	  too 
  much 	 okay 
  good 	 mal 
  till 	 lf 
 proceed without 	  
 i 'm 	  
  be 	 lf 
 few 	  many 
 no. 2545 	  
 neither 	  even 
  solely 	 13.6 
  long 	 moments 
  . 	 exactly 
 unable 	  possible 
  safe 	 danger 
 'm only 	  
  much 	 moments 
 les 	  all 
  long 	 bit 
 unhelpful 	  useful 
  take 	 ter 
 plus 	  longer 
  one 	 person 
 now do 	  
  bad 	 safe 
  only 	 that 
  one 	 capita 
 're welcome 	  
  gonna 	 'ii 
  anymore 	 longer 
  enough 	 oman 
 no. 169 	  
  here 	 person 
  much 	 minimal 
  longer 	 more 
 unimportant 	  significant 
  	 -lrb- ngos 
  one 	 nil 
  long 	 minimal 
 doubtful 	  likely 
 nope . 	  
 the case 	  
 inappropriate 	  right 
  merely 	 13.6 
  true 	 if 
 i mean 	  
 warning 	  classified 
 a bit 	  
  all 	 set 
  too 	 low 
 unfeasible 	  possible 
  , 	 d 
  all 	 ne 
  fail 	 would 
  	 you guys 
  many 	 weak 
 inconsiderable 	  significant 
  as 	 below 
 objectionable 	  permissible 
 sufficient 	  adequate 
  much 	 peanuts 
 of ne 	  
 -rrb- no. 	  
 neither 	  one 
 as opposed 	  
 any kind 	  
  sure 	 application 
  here 	 ow 
 no. 31363 	  
 's really 	  
 possible 	  impossible 
  favour 	 against 
  true 	 lf 
  	 he failed 
 seldom 	  often 
  wessex 	 cares 
 actually 	  really 
  set 	 off 
  as 	 too 
 everyone 	  everybody 
 , huh 	  
  seeing 	 only 
  differ 	 even 
  yet 	 sin 
 my god 	  
 let go 	  
  	 rather  
  anymore 	 longer 
 considerable 	  less 
  only 	 13.6 
 unnecessary 	  useful 
  long 	 low 
  yet 	 from 
  much 	 step 
  see 	 more 
  want 	 against 
  yet 	 right 
  	  simply 
 little 	  enough 
 capita 	  one 
 mean , 	  
  all 	 aii 
 late 	  later 
 plight of 	  
  least 	 < 
 no. 39574 	  
  on 	 off 
 better 	  only 
 best 	  only 
  without 	 com 
  always 	 more 
  form 	 none 
  	 still  
 wrong 	  good 
 irrelevant 	  essential 
  now 	 more 
 inappropriate 	  acceptable 
  all 	 plus 
 the middle 	  
 no 	  elsewhere 
  safe 	 dicey 
 's remembered 	  
 undesirable 	  ideal 
  if 	 lf 
  much 	 damn 
 deficient 	  satisfactory 
  all 	 les 
 no 	  very 
  	 she failed 
  one 	 person 
  one 	 persons 
 either 	  even 
 unavailable 	  feasible 
 come on 	  
 unworkable 	  applicable 
  long 	 future 
  good 	 badly 
 particularly 	  least 
  safe 	 hairy 
 limited 	  long 
 wrong 	  fair 
 denied 	  want 
 unusual 	  normal 
 minimal 	  significant 
  yet 	 huh 
  even 	 < 
 minor 	  significant 
  	 're  
 moot 	  applicable 
  just 	 13.6 
  	 n't no 
 surreal 	  real 
  only 	 sure 
  	 'm  
  interested 	 especially 
 of gross 	  
  good 	 point 
 < 	  exceeding 
  much 	 long 
  gonna 	 more 
 , number 	  
 limited 	  much 
  all 	 huh 
  just 	 -why 
  as 	 under 
  classified 	 warning 
 nobody 	  one 
 unjust 	  right 
 that right 	  
 inaccurate 	  right 
 i said 	  
  	 n't , 
 no 	  otherwise 
 the problem 	  
 trivial 	  significant 
  if 	 -lf 
  all 	 des 
 no 	  now 
 's never 	  
  much 	 scraps 
 iffy 	  great 
 inconsequential 	  important 
  with 	 com 
 intolerable 	  permissible 
 deficient 	  enough 
  changed 	 even 
 'm sorry 	  
 a bit 	  
  true 	 state 
 as long 	  
 unnatural 	  normal 
 's right 	  
  to 	 d 
  	  simply 
  want 	 denied 
 a time 	  
  much 	 'r 
  	 oh no 
  that 	 lf 
 a step 	  
 anomalous 	  normal 
 're just 	  
 pointless 	  useful 
 fraudulent 	  true 
 shortly 	  long 
  one 	 huh 
 , eh 	  
 correct 	  true 
 little 	  very 
 inadequate 	  suitable 
 , remember 	  
 be borne 	  
 only 	  but 
 your problem 	  
  	 you got 
 poorly 	  sufficiently 
  	  part 
  at 	 mode 
  yet 	 more 
 'm afraid 	  
  once 	 lf 
  long 	 limited 
  in 	 com 
  many 	 evil 
 untrue 	  right 
 no 	  something 
 inadmissible 	  receivable 
 unattainable 	  possible 
  much 	 stuart 
  	  really 
  	  quite 
 no 	  exactly 
 improper 	  right 
  too 	 weakly 
 uncertain 	  clear 
  only 	 better 
  only 	 best 
 bad 	  right 
 no 	  even 
  gonna 	 'il 
 easy 	  hard 
 easier 	  hard 
  much 	 limited 
  much 	 low 
  unlike 	 as 
  be 	 d 
 erroneous 	  right 
  longer 	 plus 
 pas de 	  
  long 	 much 
  only 	 'il 
 denied 	  do 
 wrong 	  well 
 no 	  guilty 
 lower 	  as 
 no 	  such 
  want 	 just 
  	 otherwise of 
  	 rather than 
  	 're  
 impractical 	  possible 
 hardly 	  easily 
 unbearable 	  sustainable 
  to 	 's 
  have 	 d 
  much 	 kind 
 no 	  only 
 you guys 	  
  yet 	 stiii 
 non-respendable 	  available 
  more 	 alia 
 fake 	  true 
  long 	 briefly 
  long 	 fewer 
  much 	 tara 
  we 	 lf 
  	  such 
 a time 	  
  a 	 code 
 'm just 	  
 important 	  insignificant 
  good 	 evil 
 it easy 	  
  	 no way 
  	  otherwise 
 hing 	  much 
 unavailable 	  accessible 
 doubtful 	  sure 
 false 	  right 
 hing 	  everything 
 no 	  part 
 significant 	  negligible 
 anyone 	  everyone 
 unthinkable 	  acceptable 
 counterfeit 	  true 
 inconvenient 	  appropriate 
 especially 	  least 
  do 	 denied 
  see 	 c 
 back in 	  
  	 , without 
 never mind 	  
 impractical 	  convenient 
  here 	 back 
 evidently 	  surprisingly 
  till 	 just 
 no 	  fail 
 keep it 	  
 deficient 	  adequate 
  much 	 sort 
 unwell 	  appropriate 
  	 i said 
 a problem 	  
  as 	 lower 
 difficult 	  easily 
 unwell 	  suitable 
  long 	 yet 
  long 	 turkey 
 a bad 	  
  	 no time 
 less 	  so 
 unreasonable 	  acceptable 
  much 	 teu 
 mistaken 	  correct 
 soon 	  long 
 straightforward 	  difficult 
 -lrb- no. 	  
 she failed 	  
 inadequately 	  enough 
 name 	  limited 
 tricky 	  obvious 
  	 oh no 
 nevertheless 	  less 
 wrong 	  appropriate 
  	 then  
 bogus 	  true 
 ill 	  well 
 absent 	  available 
 hardly 	  quite 
  long 	 lack 
 wrong 	  normal 
 short 	  enough 
  many 	 bad 
  much 	 never 
 , dear 	  
  long 	 stuart 
 weak 	  sufficient 
  	  fail 
 's the 	  
 sometimes 	  always 
 less 	  so 
 no 	  now 
 unacceptable 	  admissible 
 just ca 	  
 none 	  one 
 it wo 	  
 disproportionate 	  proportionate 
  make 	 t 
 know i 	  
  much 	 zip 
 short 	  much 
 unsustainable 	  acceptable 
 questionable 	  sure 
 nobody 	  everyone 
 improperly 	  well 
  	 n't  
  	  very 
  long 	 tara 
  	 without any 
  	  really 
  	 , nor 
 abnormal 	  right 
 a lie 	  
 wrong 	  acceptable 
  	 ca n't 
 unsatisfactory 	  adequate 
 fake 	  correct 
 inefficient 	  sufficient 
 impracticable 	  impossible 
 hazardous 	  safe 
 worthless 	  useful 
 little 	  many 
 optional 	  compulsory 
 outrageous 	  acceptable 
  just 	 'il 
 sufficiently 	  enough 
 miserable 	  feasible 
  much 	 punk 
 tough 	  obvious 
 around 	  far 
  . 	 oh 
 poor 	  satisfactory 
 no 	  quite 
 wrong 	  gonna 
  	 now  
  	 n't any 
  least 	 name 
 understandable 	  surprising 
 merely 	  only 
 sensible 	  unreasonable 
 non-responsive 	  receivable 
 unable 	  feasible 
 unfair 	  reasonable 
 poor 	  sufficient 
 a big 	  
 unacceptable 	  desirable 
  	 , rather 
 both 	  only 
 common 	  unusual 
 weak 	  satisfactory 
 no 	  then 
 unreadable 	  readable 
 except 	  only 
  long 	 teu 
 too 	  least 
  	  right 
  as 	 com 
  	 failed to 
  	 failing to 
  	 fail to 
 inadequately 	  well 
 before 	  later 
 tough 	  difficult 
 only 	  just 
 incomplete 	  perfect 
 scarce 	  sufficient 
 primarily 	  least 
 logically 	  surprisingly 
 few 	  enough 
 satisfactory 	  ideal 
 considerable 	  insignificant 
 futile 	  useful 
 unacceptable 	  right 
  limited 	 name 
  	 n't you 
 accurate 	  correct 
 lack 	  enough 
 optional 	  mandatory 
 really 	  exactly 
 superfluous 	  necessary 
 right 	  true 
 immaterial 	  significant 
 just 	  only 
 unavailable 	  possible 
 straightforward 	  hard 
  	  quite 
  	 n- no 
 , ca 	  
 moot 	  available 
 a good 	  
 simple 	  difficult 
 -lrb- ngos 	  
 baseless 	  well-founded 
 cool 	  bad 
  	 no less 
 inevitably 	  surprisingly 
 okay 	  bad 
 no 	  again 
 only 	  until 
  	 nor do 
  	 nor does 
  	 nor did 
 hardly 	  readily 
  long 	 punk 
  	 n't be 
  	 n't been 
  	  something 
  	  now 
 pretty 	  bad 
  	 hing to 
  	 do hing 
  	 does hing 
  	 fails to 
 straight 	  gay 
 unenforceable 	  applicable 
  	 n't a 
 voluntary 	  mandatory 
 exactly 	  really 
  	 n't to 
 disrespectful 	  polite 
 good 	  bad 
 voluntary 	  compulsory 
 thin 	  excessively 
 just wo 	  
 short 	  enough 
  	 , hing 
 non-applicable 	  applicable 
 unacceptable 	  acceptable 
  	 would n't 
  	 be without 
  	 are without 
  	 is without 
  	 was without 
  good 	 item 
  long 	 cards 
 many 	  less 
 fine 	  bad 
 later 	  now 
 clearly 	  surprisingly 
 's a 	  
 disingenuous 	  true 
  	 , non 
 beyond 	  only 
  long 	 card 
 immaterial 	  applicable 
 superfluous 	  useful 
 considerably 	  less 
 wrong 	  ok 
  	 absolutely no 
 marginal 	  significant 
 still 	  again 
 logical 	  surprising 
 unbearable 	  acceptable 
 under-inclusive 	  complete 
 least 	  so 
 few 	  much 
  	 n't it 
 no 	  available 
 no 	  stop 
 shortly 	  very 
 furious 	  happy 
 mistaken 	  right 
  	  now 
 bit 	  much 
  hold 	 name 
 actually 	  exactly 
  	 'm  
 unwise 	  reasonable 
 no 	  actually 
 tricky 	  easy 
 erroneous 	  true 
 manageable 	  unreasonable 
 unreasonable 	  appropriate 
 incorrectly 	  well 
  	 simply no 
  	 or less 
 inappropriately 	  well 
 crazy 	  normal 
 inconceivable 	  possible 
 weak 	  enough 
 no 	  because 
 unlikely 	  possible 
 incomplete 	  sufficient 
  	 nor to 
  	 ai n't 
 miserable 	  possible 
 non-binding 	  compulsory 
 unreal 	  true 
 shortly 	  much 
 here 	  there 
  	 no question 
 modest 	  large 
 solely 	  only 
 away 	  there 
  	  true 
 partial 	  complete 
  	 do hing 
 unknown 	  available 
 impracticable 	  workable 
  	 n't they 
 truly 	  really 
 naturaily 	  surprisingly 
 never 	  even 
 unavailable 	  applicable 
  	  only 
 specifically 	  least 
 scarcely 	  easily 
 low 	  much 
  	 then no 
 ambiguous 	  clear 
 unnecessary 	  appropriate 
 non-binding 	  mandatory 
 irrelevant 	  useful 
 prevalent 	  uncommon 
 unwell 	  applicable 
  	 no yes 
 imprecise 	  precise 
 none 	  any 
 unclear 	  sure 
 the name 	  
 pointless 	  applicable 
 badly 	  well 
 later 	  now 
 invalid 	  admissible 
  	 without a 
  	  go 
 untenable 	  permissible 
 insecure 	  safe 
 n't 	  just 
 phony 	  correct 
 trivial 	  important 
 nice 	  bad 
  	 n't the 
 easiest 	  difficult 
 unfortunately 	  literally 
  	 have n't 
 rough 	  easy 
  	 n't we 
 ineffective 	  useful 
  	 wo n't 
 no 	  available 
 mostly 	  least 
 commonplace 	  uncommon 
 true 	  correct 
 invalid 	  correct 
 dishonest 	  fair 
 nearby 	  far 
 ineffective 	  effective 
 shortly 	  much 
 recently 	  long 
 hardly 	  even 
 nice 	  bad 
 unworkable 	  possible 
 disgraceful 	  acceptable 
  	 no thanks 
 golly 	  excessively 
  	 failure to 
 hard 	  difficult 
 impracticable 	  realistic 
 inadequacies 	  enough 
 inadequacy 	  enough 
 na 	  applicable 
 simply 	  only 
 insufficiency 	  enough 
 admissible 	  acceptable 
  	 without an 
 meaningless 	  useful 
  	 , neither 
  	  too 
 small 	  much 
 unacceptable 	  sustainable 
 meaningless 	  important 
 bit 	  much 
 apart 	  only 
  	 non of 
 fair 	  right 
 beyond 	  just 
 impractical 	  impossible 
 bit 	  very 
 still 	  always 
 even 	  least 
 rough 	  difficult 
 shortly 	  long 
  	 without , 
 incorrect 	  good 
 harder 	  easy 
 little 	  long 
  	 neither a 
 no 	  therefore 
 hing 	  one 
 modest 	  much 
  	 4 no 
 poor 	  enough 
 unfeasible 	  impossible 
 bad 	  good 
 unworkable 	  workable 
 problematic 	  easy 
 insignificant 	  much 
 hardly 	  very 
 adequately 	  sufficiently 
 little 	  enough 
 bad 	  well 
 no 	  maintain 
 sparsely 	  very 
 no 	  far 
  	 should n't 
 neither 	  yet 
  	  then 
 suitable 	  appropriate 
 recently 	  long 
 unacceptably 	  acceptable 
 nowhere 	  even 
 unsatisfactory 	  acceptable 
 dormant 	  active 
  	 n't there 
 phony 	  right 
 receivable 	  admissible 
  	 n't do 
  	 without the 
 illegible 	  readable 
 fine 	  serious 
  	 no way 
 scarce 	  enough 
  	  because 
  	 therefore  
 little 	  quite 
 short 	  sufficient 
 inadmissible 	  right 
 anybody 	  everyone 
 certainly 	  surprisingly 
 equally 	  less 
 yet 	  again 
 no 	  okay 
 much 	  less 
 merely 	  simply 
 unclear 	  available 
 weird 	  normal 
 little 	  long 
 tenable 	  sustainable 
 weak 	  adequate 
  	 n't that 
 no 	  too 
  	 hing of 
  	 no criminal 
 fully 	  entirely 
 unreliable 	  acceptable 
 okay 	  serious 
 neither 	  only 
 harsh 	  cool 
  	  exactly 
 wrong 	  accurate 
 vast 	  inconsiderable 
 forever 	  ever 
  	 course  
 indefensible 	  permissible 
 no 	  true 
 crazy 	  right 
 insignificant 	  likely 
 insufferable 	  feasible 
 low 	  sufficient 
 redundant 	  useful 
 no 	  long 
 little 	  well 
 huh 	  true 
  	 absolutely  
  	  without 
 risky 	  safe 
 never 	  yet 
 wrongly 	  well 
  	 no point 
 no 	  long 
 impermissible 	  right 
 only 	  merely 
 complex 	  easy 
  	 instead of 
 hard 	  obvious 
  	 n't i 
 cute 	  bad 
 adequately 	  enough 
 significant 	  less 
 unattainable 	  impossible 
 no 	  here 
 definitely 	  really 
 now 	  anymore 
 unable 	  impossible 
 counterfeit 	  correct 
 thin 	  much 
 prior 	  later 
 away 	  here 
 no 	  exist 
 more 	  anymore 
 mal 	  well 
 poorly 	  very 
 sparse 	  many 
 little 	  long 
  	 n't have 
  	 hing , 
  	 still no 
 pretty 	  bad 
 n.d. 	  available 
 less 	  least 
 nominal 	  significant 
 especially 	  least 
 within 	  later 
 insufficiently 	  well 
 less 	  as 
  	 n't on 
 wrong 	  true 
  	 could n't 
 few 	  very 
 additionally 	  least 
 still 	  less 
 minimal 	  much 
 inadequate 	  complete 
  	 could n't 
  	 n't in 
 different 	  equal 
  	 2 no 
 inefficient 	  enough 
 anyone 	  one 
  	 would n't 
  	 unable to 
 few 	  long 
 unwell 	  right 
  	 nor the 
  	 n't even 
 less 	  much 
 furthermore 	  only 
 just 	  but 
  	 none of 
  	 less than 
  	 should n't 
 -no 	  really 
 also 	  least 
  	 n't ... 
 soon 	  very 
 n.a. 	  applicable 
 elusive 	  feasible 
  	 has n't 
  	 had n't 
  	 have n't 
  	 no vote 
  	 oh no 
  	  already 
  	 rather , 
 mainly 	  least 
 besides 	  only 
 impossible 	  acceptable 
 around 	  there 
  	 no new 
  	  elsewhere 
 feasible 	  impossible 
  	 n't even 
  	 hell no 
 anomalous 	  right 
 non-compliant 	  admissible 
 gee 	  excessively 
 difficult 	  hard 
 ok 	  serious 
 ok 	  bad 
 no 	  under 
 irrelevant 	  admissible 
 elsewhere 	  only 
  	  actually 
 no 	  provide 
  	  here 
 hardly 	  reaily 
 unclear 	  obvious 
 -no 	  elsewhere 
 unusual 	  right 
 correct 	  right 
  	 n't about 
  	 yes no 
 amiss 	  right 
 ineffective 	  valid 
 modest 	  many 
 feasible 	  impossible 
 untenable 	  feasible 
  	 neither the 
 faulty 	  correct 
 hing 	  much 
 no 	  now 
  	 absence of 
 no 	  enough 
 short 	  many 
 poor 	  adequate 
 bullshit 	  true 
 intolerable 	  right 
  	  otherwise 
 none 	  everyone 
  	  stop 
 fake 	  right 
 no 	  anymore 
 low 	  enough 
 objectionable 	  right 
 small 	  many 
 more 	  anymore 
 wrong 	  good 
 shortage 	  enough 
 shortages 	  enough 
  	 n't for 
 harsh 	  easy 
 also 	  only 
 non 	  elsewhere 
  	  enough 
 unacceptable 	  true 
 either 	  one 
  	 are unable 
  	 is unable 
  	 been unable 
  	 were unable 
  	 be unable 
  	 was unable 
  	 being unable 
  	  gonna 
 also 	  least 
  	 the non 
 anymore 	  now 
  	  therefore 
 less 	  even 
 specific 	  least 
  	 s  
 less 	  more 
 smooth 	  difficult 
 invalid 	  ok 
 none 	  applicable 
 frequently 	  often 
 often 	  always 
 admissible 	  permissible 
 bogus 	  correct 
 unacceptable 	  possible 
  	 impossible to 
 hingg 	  much 
  	  very 
 impossible 	  more 
 inevitably 	  necessarily 
  	 no fucking 
 mostly 	  least 
 hing 	  one 
 too 	  enough 
 miserable 	  impossible 
 insignificant 	  many 
 poor 	  good 
 easily 	  readily 
 damn 	  excessively 
 defective 	  sufficient 
 non-compliant 	  receivable 
 few 	  much 
 uncommon 	  much 
 without 	  yet 
 outrageous 	  permissible 
 scarcely 	  readily 
 incomplete 	  enough 
  	 any less 
 cheap 	  difficult 
 indeed 	  even 
  	 no further 
 solely 	  merely 
  	 no less 
 no 	  gonna 
 no 	  go 
 certainly 	  only 
 non 	  really 
 shortly 	  enough 
  	 otherwise than 
 good 	  bad 
 bad 	  correct 
  	 nor a 
  	  come 
  	 refraining from 
  	 refrain from 
 insufferable 	  impossible 
 immaterial 	  relevant 
 no 	  waste 
 non 	  guilty 
 sane 	  unreasonable 
 tara 	  everything 
 fewer 	  so 
  	 n't from 
 genuinely 	  really 
 none 	  a 
  	  again 
 like 	  unlike 
 broad 	  inconsiderable 
  	 ai n't 
 bad-looking 	  right 
  	 of non 
  	 but without 
 fraudulent 	  correct 
 close 	  far 
 closer 	  far 
 eh 	  true 
 somewhat 	  very 
 distinct 	  equal 
  	 it without 
 no 	  enough 
 different 	  identical 
  	 maybe  
 arduous 	  easy 
 fussy 	  easy 
 mistaken 	  true 
  	 no water 
 hardly 	  much 
 invalid 	  right 
 no 	  come 
 timeframe 	  later 
 soon 	  much 
 rational 	  unreasonable 
 hard 	  easily 
 never 	  once 
 impossible 	  easy 
 inadequate 	  right 
 previously 	  later 
 unreasonable 	  right 
 almost 	  far 
 hardly 	  so 
 premature 	  appropriate 
  	 now no 
 impermissible 	  receivable 
 -no 	  now 
 apart 	  just 
  	 n't really 
 hing 	  anything 
  	  right 
 sooner 	  later 
 alone 	  only 
 just 	  simply 
 unfair 	  correct 
  	 government  
  	  necessarily 
 scarcely 	  well 
 unwarranted 	  appropriate 
 totally 	  really 
 bizarre 	  normal 
 reaily 	  really 
 always 	  necessarily 
 barely 	  well 
 separate 	  equal 
 away 	  now 
 normal 	  surprising 
 inadmissible 	  feasible 
 unnatural 	  right 
  	 no extra 
  	 , instead 
 painful 	  easy 
 ineligible 	  right 
  	 no further 
  	 don 't 
  	 only just 
 disgraceful 	  permissible 
 furthermore 	  least 
  	 lack of 
 cool 	  serious 
 shite 	  jaydee 
 huh 	  true 
 irrelevant 	  gonna 
 untrue 	  accurate 
 least 	  less 
 yet 	  even 
 responsibility 	  responsible 
 just 	  but 
 no 	  create 
 just 	  so 
 merely 	  just 
 n't 	  only 
 okay 	  bad 
 inoperable 	  operational 
  	 will only 
 so 	  only 
 shortly 	  much 
 inefficient 	  efficient 
 unavailable 	  impossible 
 fruitless 	  useful 
  	  right 
 fully 	  completely 
 anybody 	  one 
 irrelevant 	  available 
 foolish 	  unreasonable 
 even 	  yet 
  	 , right 
 wack 	  jaydee 
  	  able 
  	 no shit 
  	 and without 
  	 no kidding 
 wise 	  unreasonable 
 difficult 	  obvious 
 shoot 	  excessively 
  	 n't going 
  	 n't go 
 inside 	  later 
 scarce 	  many 
 unlikely 	  feasible 
 gosh 	  excessively 
 picky 	  easy 
 still 	  even 
 few 	  enough 
 jeez 	  excessively 
 just 	  merely 
 sick 	  ill 
  	 however , 
 anybody 	  everybody 
 just 	  really 
  	 all right 
 difficult 	  right 
 n't 	  that 
 nah 	  really 
 elusive 	  possible 
 insufferable 	  possible 
 often 	  less 
  	 definitely  
 alright 	  serious 
 out 	  gonna 
 no. 	  yet 
 terrible 	  feasible 
 evil 	  good 
 weird 	  right 
 nah 	  elsewhere 
 hardly 	  too 
 -no 	  simply 
  	 no problem 
 widespread 	  uncommon 
 major 	  insignificant 
 simply 	  just 
 really 	  quite 
 ill 	  right 
  	  under 
 shitty 	  official 
 compensatory 	  compulsory 
 okay 	  hungry 
 non 	  just 
 unthinkable 	  right 
 inappropriate 	  good 
 sick 	  suitable 
 non 	  simply 
 no 	  good 
  	 the absence 
  	 perhaps  
 impractical 	  easy 
 minimal 	  many 
  	 to fail 
 sick 	  appropriate 
 cumbersome 	  easy 
 unsafe 	  sure 
 also 	  even 
 recently 	  very 
 rock-hard 	  easy 
 doubtful 	  safe 
 additionally 	  only 
 short 	  very 
 receivable 	  permissible 
 tough 	  hard 
 anything 	  everything 
 course 	  surprisingly 
 significant 	  important 
 insignificant 	  large 
 without 	  even 
 least 	  only 
  	  use 
 crap 	  excessively 
 non 	  now 
 unworkable 	  impossible 
 unnecessary 	  applicable 
 convenient 	  difficult 
  	 catalogue no 
 hopeless 	  useful 
 bit 	  long 
 even 	  least 
 lame 	  jaydee 
 more 	  everything 
 difficult 	  possible 
 practicable 	  impossible 
  	  again 
  	 n't gonna 
 scarce 	  much 
 poorly 	  much 
 more 	  only 
 defective 	  enough 
 application 	  apply 
 application 	  applied 
 sparse 	  much 
 quite 	  very 
 impractical 	  applicable 
 solely 	  simply 
 sparsely 	  much 
 greatly 	  less 
  	 the failure 
 n't 	  right 
  	 a lack 
 non 	  yet 
  	 why  
 few 	  long 
  	 contrary , 
 low 	  very 
  	 can only 
 less 	  least 
  	 otherwise , 
 inefficient 	  adequate 
 hardto 	  easy 
  	  work 
  	 no big 
 admittedly 	  only 
  	 just do 
  	 just does 
  	 just did 
 less 	  quite 
 crazy 	  true 
  	  mean 
 -no 	  otherwise 
  	 and non 
  	 order  
 inefficiently 	  well 
 unreliable 	  credible 
 uncomfortable 	  easy 
 darn 	  excessively 
 scandalous 	  acceptable 
 bit 	  long 
 anything 	  much 
 non 	  otherwise 
 apart 	  merely 
 boy 	  excessively 
 meaningless 	  significant 
  	 an absence 
 moot 	  useful 
 admittedly 	  surprisingly 
  	 only been 
  	 only be 
 no. 	  just 
  	 n't he 
  	  getting 
  	  get 
 n't 	  yet 
 moot 	  important 
 plainly 	  surprisingly 
 unconscionable 	  right 
  	  set 
 least 	  even 
 apart 	  simply 
 slightly 	  very 
 true 	  right 
 less 	  even 
 bad 	  ok 
  	 ca n't 
 awry 	  well 
 immediately 	  long 
 deficiencies 	  enough 
 deficiency 	  enough 
 unknown 	  possible 
 pointless 	  relevant 
 terrible 	  possible 
 both 	  just 
 sketchy 	  complete 
 non-applicable 	  relevant 
  	  possible 
 net 	  even 
 extensive 	  inconsiderable 
 correctly 	  well 
 insufficient 	  much 
 barely 	  readily 
 hurt 	  right 
 hurting 	  right 
  	  long 
  	 , however 
 more 	  anymore 
 too 	  even 
 inappropriate 	  enough 
 difficult 	  good 
 crazy 	  gonna 
  	 no real 
  	 catalogue no 
 terribly 	  really 
 right 	  well 
 persons 	  everyone 
 person 	  everyone 
 poorly 	  enough 
  	 decide  
  	 decided  
 unavoidable 	  feasible 
 unattainable 	  practicable 
 simple 	  hard 
 evil 	  right 
 inefficient 	  effective 
 -no 	  just 
  	 of failure 
 out 	  here 
 ani 	  even 
 shortfalls 	  enough 
 shortfall 	  enough 
 non 	  that 
 still 	  so 
 practical 	  realistic 
 tricky 	  difficult 
  	  put 
 scarcely 	  very 
 unnecessary 	  very 
  	  happen 
 can 	  able 
 beyond 	  merely 
 sore 	  right 
  	 it neither 
 barely 	  even 
 illogical 	  surprising 
 hardly 	  well 
 undesirable 	  good 
 practicable 	  impossible 
 partly 	  only 
 probable 	  unreasonable 
 just 	  until 
 honestly 	  really 
 unwell 	  good 
 irreconcilable 	  compatible 
  	 ai n't 
  	 neither do 
 terrible 	  good 
 actually 	  quite 
 elsewhere 	  just 
 unhealthy 	  good 
  	 yet to 
 somewhat 	  much 
 nah 	  that 
 short 	  long 
 harmful 	  safe 
 certain 	  least 
 short 	  long 
  	 - nope 
 weak 	  much 
 common 	  uncommon 
 hardly 	  yet 
 inoperative 	  operational 
  	 instead , 
 indefensible 	  right 
  	 the lack 
 private 	  fair 
 either 	  only 
 yeah 	  true 
  	  see 
 creepy 	  jaydee 
  	 of non- 
 personally 	  well 
 huh 	  right 
  	 no kidding 
 no 	  work 
 moreover 	  only 
 neither 	  simply 
  	 be impossible 
  	 is impossible 
 n-no 	  now 
 lastly 	  least 
