Number of pairs: 5113
limited	unlimited
separ	union
fixed	loos
fallibility	infallibility
conduct	nonconduct
monochromatic	polychromatic
conform	nonconform
be_wel	suffer
ebb	tide
credibl	incred
lawfully	lawlessly
frame	unfram
roll_up	unfurl
seeded	unseeded
freeze	unfreeze
insalubri	salubri
dislodge	lodge
finiteness	infiniteness
shrinkabl	unshrink
geometrically	linearly
usefulness	uselessness
equip	unequip
invisibly	visibly
humane	inhumane
endothermic	exothermic
righteously	unrighteously
occidentalise	orientalise
overestimate	underestimate
danger	safe
imaginatively	unimaginatively
exploited	unexploited
heir_appar	heir_presumpt
high_sea	territorial_wat
invulnerable	vulnerable
misus	use
ashamedly	unashamedly
dematerialise	materialise
adnate	connate
disembarrassment	embarrassment
heedfulness	heedlessness
beautify	uglify
costiv	lax
injustice	justice
closed	open
nonsurg	surgic
progress	regress
by_all_mean	by_no_mean
destructibility	indestructibility
email	snail_mail
retentive	unretentive
smilingly	unsmilingly
comparable	incomparable
avow	disavow
masochistic	sadistic
ability	inability
mown	unmown
importance	unimportance
joy	joylessli
make_peace	war
regretful	unregretful
dislik	like
good_health	ill_health
efficiency	inefficiency
brotherli	sisterli
complicate	simplify
key	keyless
asyndetic	syndetic
disproportionately	proportionately
unwax	wax
comparably	incomparably
addit	subtract
capableness	incapableness
diligent	negligent
multicultur	nation
invulner	vulner
eucaryotic	procaryotic
equal	unequ
lipless	lip
apter	peripter
admit	reject
audibl	inaud
admir	look_down_on
rust	rustless
publicized	suppressed
amic	hostil
passing	running
highland	lowland
female_parent	male_parent
glorious	inglorious
demulsifi	emulsifi
noisili	quietli
roughen	smooth
adjusted	maladjusted
acceptive	rejective
disenfranchised	enfranchised
invasive	noninvasive
unventilated	ventilated
harmonic	nonharmonic
imperfection	perfection
invisible	visible
devoice	voice
biodegradable_pollution	nonbiodegradable_pollution
nonspherical	spherical
profitableness	unprofitableness
crystalline	noncrystalline
neighborliness	unneighborliness
convertible	inconvertible
neap_tide	springtide
propitiously	unpropitiously
powered	unpowered
addition	subtraction
decent	indec
steadiness	unsteadiness
by_hand	by_machin
insuffici	suffici
seasoned	unseasoned
treat	untreat
hierarch	nonhierarch
contralateral	ipsilateral
eloqu	ineloqu
feather	unfeath
immedi	mediat
bottlefeed	breastfeed
asymmetrically	symmetrically
injudici	judici
controlled	uncontrolled
curli	straight
bedded	bedless
painted	unpainted
censor	uncensor
pleasure_principle	reality_principle
coherence	incoherence
nonretractil	retractil
assert	unassert
finished	unfinished
accident	deliber
hateful	lovable
anastigmat	astigmat
cautiously	incautiously
educ	uneduc
devitalize	vitalize
opac	transpar
Anglican	Nonconformist
direct_discours	indirect_discours
cacophonous	euphonious
agonist	antagonist
asexual	sexual
parallel_oper	serial_oper
align	nonalign
appearance	disappearance
smokeless	smoki
pretentious	unpretentious
harden	soft
defin	undefin
animateness	inanimateness
broad-mindedly	narrow-mindedly
rigged	unrigged
hypertension	hypotension
advisable	inadvisable
deductible	nondeductible
chast	unchast
tuck	untuck
offending	unoffending
insensitively	sensitively
antonymous	synonymous
sportingli	unsportingli
recept	unrecept
impercept	percept
non-proliferation	proliferation
insanely	sanely
immoderately	moderately
neurot	unneurot
lowborn	nobl
optimistic	pessimistic
dicotyledonous	monocotyledonous
imprudently	prudently
incom	outgo
bloodless	bloodi
overspend	underspend
effervesc	noneffervesc
conserve	waste
impervious	pervious
multipar	unipar
ostentatious	unostentatious
complex_instruction_set_comput	reduced_instruction_set_comput
counterfactuality	factuality
generic	varietal
antityp	type
concealing	revealing
camphorated	uncamphorated
connectedness	disconnectedness
member	memberless
aqueou	igneou
disorderli	orderli
be_born	die
merciful	merciless
abaxi	adaxi
advis	inadvis
soundness	unsoundness
unveil	veil
finite	infinite
tapped	untapped
privileged	underprivileged
frivolous	serious
difficult	easi
injured	uninjured
competit	noncompetit
heterozyg	homozyg
tactful	tactless
cubic	planar
absorb	adsorb
endogamy	exogamy
effect	ineffect
diplomatically	undiplomatically
pleasantli	unpleasantli
multidimensional_language	one-dimensional_language
anod	cathod
move_in	move_out
initi	uniniti
frequently	infrequently
disorderliness	orderliness
judgment	nonjudgment
at_least	at_most
subjac	superjac
pleasantly	unpleasantly
off	on
center	left
denazify	nazify
extramural	intramural
deniabl	undeni
colour	colourless
banded	unbanded
conclusiveness	inconclusiveness
thought	thoughtless
insurmountable	surmountable
mitigated	unmitigated
camphor	uncamphor
denazifi	nazifi
explicable	inexplicable
diversify	specialise
unusu	usual
inwardness	outwardness
aplacental	placental
paradigmat	syntagmat
stressed	unstressed
arming	disarming
de-escalate	escalate
attractively	unattractively
less	more
insurability	uninsurability
accurate	inaccurate
high-rise	low-rise
domestic	undomestic
necessitate	obviate
nonsingular_matrix	singular_matrix
feminin	masculin
interdepartmental	intradepartmental
extrospect	introspect
generic_wine	varietal_wine
centralizing	decentralizing
systemat	unsystemat
coordination	incoordination
happiness	unhappiness
impiou	piou
begin	end
drafte	volunt
generous	ungenerous
kindness	unkindness
clergyman	layman
imprud	prudenc
point	pointless
anticatalyst	catalyst
eucaryot	procaryot
script	unscript
add	subtract
attractive	repulsive
exempt	nonexempt
achlamydeous	chlamydeous
nonreflect	reflect
acaudate	caudate
smart	stupid
impassable	passable
sonic	superson
augment	diminut
ample	meager
posteriority	priority
irrevers	revers
punctual	tardi
multinucl	uninucl
irresponsibleness	responsibleness
criminalize	decriminalize
monovalent	polyvalent
corporeality	incorporeality
burden	unburden
amply	meagerly
disfluenc	fluenci
abranchi	branchiat
disservice	service
cauline	radical
audibly	inaudibly
necessary	unnecessary
like	unlik
lost	won
depersonalise	personalise
corpor	incorpor
qualitative	quantitative
realist	unrealist
loser	winner
dry-bulb_thermomet	wet-bulb_thermomet
sized	unsized
irresist	resist
oblique_triangl	right_triangl
have	miss
lose	win
divest	invest
nominative	oblique
audible	inaudible
accessible	inaccessible
opacity	transparency
specifi	unspecifi
applicability	inapplicability
classical	nonclassical
abienc	adienc
freshness	staleness
reassur	unreassur
accusatori	inquisitori
limb	limbless
alive	dead
immortal	mortal
tempered	untempered
decor	indecor
contin	incontin
export	unexport
nonslippery	slippery
insensitiveness	sensitiveness
supportive	unsupportive
employment	unemployment
dysphoria	euphoria
contested	uncontested
guid	unguid
occidentalize	orientalize
lead	unlead
colonize	decolonize
estiv	hibern
avoid	confront
leaded	unleaded
lean	rich
provoc	unprovoc
legato	staccato
e-mail	snail_mail
rewarding	unrewarding
passion	passionless
settl	unsettl
becomingness	unbecomingness
gabled	hipped
capability	incapability
mined	unmined
nonviolently	violently
fretted	unfretted
anestrus	estrus
immeasurably	measurably
coated	uncoated
Heaven	Hell
disentangle	entangle
hospitably	inhospitably
oiled	unoiled
buttoned	unbuttoned
caulin	radic
host	parasit
ceilinged	floored
hospitable	inhospitable
circumstantial_evid	direct_evid
unvoic	voic
noisy	quiet
slip_off	slip_on
actual	potenti
extension	flexion
saddle	unsaddle
column	noncolumn
acarpelous	carpellate
ribbed	ribless
compatibly	incompatibly
functional_disorder	organic_disorder
serviceable	unserviceable
merited	unmerited
compatible	incompatible
fissil	nonfissil
beaked	beakless
commerci	noncommerci
fals	true
insufficient	sufficient
certainti	uncertainti
interdepartment	intradepartment
eloquently	ineloquently
disabl	enabl
flower	flowerless
equit	inequit
liveborn_infant	stillborn_infant
equally	unequally
acceptance	rejection
polished	unpolished
argumentative	unargumentative
nonprehensile	prehensile
sharpness	softness
rhythmical	unrhythmical
articulate	inarticulate
thinkabl	unthink
de-iodin	iodin
demobilise	mobilise
hypertonicity	hypotonicity
away_game	home_game
female	male
cultivated	uncultivated
alternating_current	direct_current
irrelevantli	relevantli
improperness	properness
file_in	file_out
antitype	type
arriv	leav
impatience	patience
elastic	inelastic
egalitarian	elitist
concav	convex
buckle	unbuckle
themat	unthemat
deflationary_spiral	inflationary_spiral
deoxid	oxid
groomed	ungroomed
noticed	unnoticed
continental	intercontinental
overtime	regulation_time
figuratively	literally
downgrad	upgrad
inner	outer
antipyret	pyret
civilli	uncivilli
backhand	forehand
naturally	unnaturally
function	organ
congruiti	incongru
prophetic	unprophetic
north	south
dissatisfact	satisfact
unwrap	wrap
agre	disagre
antemortem	postmortem
taciturn	volubl
rest_day	workday
illegitim	legitim
demilitarise	militarise
insured	uninsured
esoter	exoter
lowered	raised
gain	loss
autogam	exogam
convergence	divergence
ear	earless
genuineness	spuriousness
abducent	adducent
made	unmad
instructive	uninstructive
dangerous	safe
submers	surface_ship
official	unofficial
signed	unsigned
asynchron	synchron
intangible	tangible
limit	unlimit
demateri	materi
offstage	onstage
civil_law	international_law
nonvolatile_storage	volatile_storage
multiculturalism	nationalism
lubricated	unlubricated
anamorphism	katamorphism
atyp	typic
bearing	nonbearing
intransit	transit
immobil	mobil
commensur	incommensur
pin	unpin
destabilise	stabilize
curve	straight_line
legalis	outlaw
topless	top
balconi	unbalconi
twist	untwist
female_monarch	male_monarch
control	uncontrol
decisiveness	indecisiveness
autogen	heterogen
attributive	predicative
intentionally	unintentionally
assortative_mating	disassortative_mating
diplomat	undiplomat
expensiveness	inexpensiveness
mushroom	toadstool
immateri	materi
contest	uncontest
nonspecif	specif
scholarly	unscholarly
forgivably	unforgivably
curtained	curtainless
activeness	inactiveness
amateur	profession
other	same
farness	nearness
disproportion	proportion
intransitively	transitively
inflect	uninflect
credul	incredul
scholarli	unscholarli
defeasible	indefeasible
imperish	perish
repeat	unrepeat
accrual_basis	cash_basis
expressible	inexpressible
imprudence	prudence
concave_polygon	convex_polygon
consequenti	inconsequenti
intransitive	transitive
augmentation	diminution
earthly	heavenly
nonphotosynthet	photosynthet
inboard	outboard
ambidextrous	left-handed
acquitt	convict
humbl	proud
impurity	purity
appoint	elect
exaugur	inaugur
experienc	inexperienc
shockable	unshockable
bivalve	univalve
emers	immers
clasp	unclasp
reliabl	unreli
facultative	obligate
atheism	theism
immunocompetent	immunodeficient
anteced	subsequ
rural	urban
invari	variabl
consecr	desecr
inspan	outspan
